Name of Sample,Approx. Depth (cm),VMC,rb (g/cm3),Porosity,LOI,SOM,Resistivity (ohm.m),Desription
FW1A,10,0.333388067,1.169565748,0.558654435,0.041187739,0.042461587,268.071,Mid-point of Freshwater Resistivity Profile 1
FW1B,25,0.273894573,1.371215015,0.482560372,0.032679739,0.033690452,254.31,Mid-point of Freshwater Resistivity Profile 1
FW1C,40,0.337878142,1.49668567,0.435212955,0.04491018,0.046299154,194.335,Mid-point of Freshwater Resistivity Profile 1
FW2A,10,0.314305248,1.206534781,0.544703856,0.044568245,0.045946644,195.141,End of Freshwater Resistivity Profile 2
FW2B,20,0.295222429,1.424988153,0.462268621,0.032232704,0.033229592,195.141,End of Freshwater Resistivity Profile 2
FW2C,30,0.335633104,1.491084302,0.437326679,0.03906837,0.04027667,168.828,End of Freshwater Resistivity Profile 2
FW2D,40,0.277262129,1.14604,0.567532075,0.034213099,0.035271236,138.441,End of Freshwater Resistivity Profile 2
FW3A,10,0.440027347,0.955593471,0.63939869,0.082063306,0.084601346,103.988,Mid-point of Freshwater Resistivity Profile 3
FW3B,20,0.400739191,1.402582679,0.470723517,0.041533546,0.042818089,87.487,Mid-point of Freshwater Resistivity Profile 3
FW3C,30,0.327775473,1.522451965,0.425489824,0.030905077,0.031860904,72.774,Mid-point of Freshwater Resistivity Profile 3
FW3D,40,0.389514004,1.338727078,0.494819971,0.046861925,0.048311263,54.55,Mid-point of Freshwater Resistivity Profile 3
FW4A,10,0.45574261,0.986961134,0.627561836,0.080590238,0.08308272,176.786,Beginning of Freshwater Resistivity Profile 2
FW4B,20,0.397371635,1.176287391,0.556117966,0.047619048,0.049091802,178.038,Beginning of Freshwater Resistivity Profile 2
FW4C,30,0.377166298,1.497805944,0.43479021,0.034405385,0.035469469,183.921,Beginning of Freshwater Resistivity Profile 2
FW4D,40,0.380533854,1.569503461,0.407734543,0.030692363,0.031641611,181.6,Beginning of Freshwater Resistivity Profile 2
SW1A,10,0.398494154,1.15500219,0.564150117,0.058195926,0.0599958,99.312,Beginning of Saltwater Resistivity Profile 2
SW1B,20,0.335633104,1.498926218,0.434367465,0.033632287,0.034672461,101.994,Beginning of Saltwater Resistivity Profile 2
SW1C,30,0.432169716,1.429469248,0.460577642,0.040752351,0.042012733,95.637,Beginning of Saltwater Resistivity Profile 2
SW1D,40,0.451252535,1.33648653,0.49566546,0.035205365,0.03629419,90.63,Beginning of Saltwater Resistivity Profile 2
SW2A,10,0.37492126,0.944390734,0.643626138,0.084223013,0.086827849,269.125,Mid-point of Saltwater Resistivity Profile 1
SW2B,20,0.310937692,1.299517498,0.509616038,0.029310345,0.03021685,282.464,Mid-point of Saltwater Resistivity Profile 1
SW2C,30,0.323285398,1.437311164,0.457618429,0.025720966,0.02651646,307.591,Mid-point of Saltwater Resistivity Profile 1
SW2D,40,0.260424348,1.135957537,0.571336778,0.027613412,0.028467435,305.151,Mid-point of Saltwater Resistivity Profile 1
SW3A,10,0.461355203,1.141558906,0.569223054,0.06673209,0.068795969,232.879,End of Saltwater Resistivity Profile 2
SW3B,20,0.404106747,1.105710147,0.582750888,0.05775076,0.059536866,223.838,End of Saltwater Resistivity Profile 2
SW3C,30,0.460232685,1.241263265,0.531598768,0.056859206,0.058617738,170.775,End of Saltwater Resistivity Profile 2
SW3D,40,0.436659791,1.326404067,0.499470163,0.044763514,0.046147952,147.811,End of Saltwater Resistivity Profile 2
SW4A,10,0.444517422,1.286074214,0.514688976,0.057491289,0.05926937,223.299,Mid-point of Saltwater Resistivity Profile 3
SW4B,20,0.367063629,1.371215015,0.482560372,0.041666667,0.042955326,222.84,Mid-point of Saltwater Resistivity Profile 3
SW4C,30,0.377166298,1.529173608,0.422953356,0.036630037,0.037762924,163.176,Mid-point of Saltwater Resistivity Profile 3
SW4D,40,0.493908247,1.258067371,0.525257596,0.052537845,0.054162727,131.539,Mid-point of Saltwater Resistivity Profile 3
CP1A,10,0.363696073,1.37569611,0.480869392,0.043973941,0.04533396,,Mid point at the Western boundary of the plot
CP1B,20,0.298589986,1.438431438,0.457195684,0.037383178,0.038539358,,Mid point at the Western boundary of the plot
CP1C,30,0.377166298,1.270390382,0.520607403,0.05026455,0.051819124,,Mid point at the Western boundary of the plot
CP1D,40,0.395126597,1.204294233,0.545549346,0.050232558,0.051786142,,Mid point at the Western boundary of the plot
CP2A,10,0.495030766,0.975758397,0.631789284,0.09184845,0.094689124,,Mid point at the Eastern boundary of the plot
CP2B,20,0.309815173,1.386898847,0.476641944,0.030694669,0.031643988,,Mid point at the Eastern boundary of the plot
CP2C,30,0.304202579,1.347689267,0.491438012,0.028262677,0.02913678,,Mid point at the Eastern boundary of the plot
CP2D,40,0.474825428,1.404823226,0.469878028,0.041467305,0.042749799,,Mid point at the Eastern boundary of the plot
