#Log_File	LOG005																		
#Comment																			
#Device	FireStingGO2_Pocket_Oxygen_Meter																		
#Firmware	3.38																		
#Unique_ID	24796C035B27F293																		
#Manufacturer	Pyro_Science_GmbH																		
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity														
#	XB7-547-207	Water	%air sat.	Sensor	0.0 psu														
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%																
#	XB7-547-207	4-Jun-23	not cal.																
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency												
#	Sensor	Sensor	0 psu	default	15%	400x	4000 Hz												
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	54.700°	21.191°	20.00°C	23.23°C	1016 mbar	48%RH	0.804	0.122	4000 Hz	#NAME?	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	#NAME?	0	20.95%O2
#																			
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%air sat.)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)					
1	6/4/2023 15:50	92.603		16.53	16.53	1014.9	51.7	1		0	22.961	56.7	-0.6	22.07					
2	6/4/2023 15:55	91.267		16.13	16.13	1015	50.4	300		0	23.18	57.3	-0.7	21.97					
3	6/4/2023 16:00	90.623		16.01	16.01	1014.9	50.2	600		0	23.279	57.8	-0.5	21.76					
4	6/4/2023 16:05	90.314		15.97	15.97	1014.8	50.1	900		0	23.327	58.2	-0.4	21.61					
5	6/4/2023 16:10	90.066		15.94	15.94	1014.7	50.1	1200		0	23.364	58.5	-0.4	21.54					
6	6/4/2023 16:15	89.703		15.93	15.93	1014.8	50	1500		0	23.414	58.7	-0.5	21.49					
7	6/4/2023 16:20	89.771		15.91	15.91	1014.8	50	1800		0	23.406	58.7	-0.4	21.54					
8	6/4/2023 16:25	89.74		15.9	15.9	1014.7	50	2100		0	23.412	58.8	-0.4	21.43					
9	6/4/2023 16:30	89.65		15.9	15.9	1014.7	50	2400		0	23.425	58.9	-0.6	21.3					
10	6/4/2023 16:35	89.406		15.89	15.89	1014.7	49.9	2700		0	23.458	59	-0.5	21.07					
11	6/4/2023 16:40	89.583		15.89	15.89	1014.7	50.1	3000		0	23.435	59.3	-0.7	20.91					
12	6/4/2023 16:45	89.697		15.88	15.88	1014.5	50.1	3300		0	23.423	59.4	-0.7	20.83					
13	6/4/2023 16:50	89.794		15.87	15.87	1014.5	50.1	3600		0	23.41	59.5	-0.4	20.71					
14	6/4/2023 16:55	89.175		15.87	15.87	1014.5	50.1	3900		0	23.495	59.5	-0.4	20.63					
15	6/4/2023 17:00	89.358		15.87	15.87	1014.5	50.3	4200		0	23.47	59.5	-0.5	20.58					
16	6/4/2023 17:05	89.378		15.87	15.87	1014.5	50.2	4500		0	23.467	59.6	-0.4	20.49					
17	6/4/2023 17:10	89.289		15.87	15.87	1014.5	50.3	4800		0	23.479	59.6	-0.5	20.42					
18	6/4/2023 17:15	89.531		15.86	15.86	1014.5	50.3	5100		0	23.448	59.7	-0.4	20.36					
19	6/4/2023 17:20	89.566		15.86	15.86	1014.5	50.3	5400		0	23.442	59.7	-0.3	20.3					
20	6/4/2023 17:25	89.291		15.86	15.86	1014.5	50.4	5700		0	23.479	59.8	-0.4	20.22					
21	6/4/2023 17:30	89.634		15.86	15.86	1014.6	50.4	6000		0	23.433	59.8	-0.2	20.15					
22	6/4/2023 17:35	89.612		15.86	15.86	1014.6	50.4	6300		0	23.435	59.8	-0.3	20.08					
23	6/4/2023 17:40	89.691		15.86	15.86	1014.5	50.4	6600		0	23.426	59.8	-0.4	20.01					
24	6/4/2023 17:45	89.433		15.85	15.85	1014.5	50.4	6900		0	23.461	59.9	-0.4	19.93					
25	6/4/2023 17:50	89.388		15.86	15.86	1014.6	50.5	7200		0	23.466	59.9	-0.4	19.84					
26	6/4/2023 17:55	89.662		15.85	15.85	1014.6	50.5	7500		0	23.429	60	-0.4	19.68					
27	6/4/2023 18:00	89.446		15.85	15.85	1014.5	50.6	7800		0	23.459	60.1	-0.5	19.52					
28	6/4/2023 18:05	89.763		15.85	15.85	1014.5	50.6	8100		0	23.418	60.1	-0.3	19.4					
29	6/4/2023 18:10	89.596		15.85	15.85	1014.6	50.6	8400		0	23.439	60.1	-0.5	19.33					
30	6/4/2023 18:15	89.528		15.85	15.85	1014.6	50.6	8700		0	23.448	60.2	-0.4	19.23					
31	6/4/2023 18:20	89.595		15.84	15.84	1014.6	50.7	9000		0	23.44	60.2	-0.4	19.12					
32	6/4/2023 18:25	89.461		15.85	15.85	1014.6	50.7	9300		0	23.457	60.3	-0.4	19					
33	6/4/2023 18:30	89.597		15.84	15.84	1014.7	50.7	9600		0	23.438	60.3	-0.4	18.89					
34	6/4/2023 18:35	89.726		15.84	15.84	1014.6	50.8	9900		0	23.422	60.3	-0.3	18.77					
35	6/4/2023 18:40	89.534		15.85	15.85	1014.6	50.8	10200		0	23.447	60.4	-0.4	18.64					
36	6/4/2023 18:45	89.75		15.84	15.84	1014.6	50.9	10500		0	23.418	60.5	-0.2	18.52					
37	6/4/2023 18:50	89.786		15.84	15.84	1014.7	50.9	10800		0	23.413	60.6	-0.1	18.4					
38	6/4/2023 18:55	89.827		15.84	15.84	1014.7	51	11100		0	23.408	60.6	-0.5	18.26					
39	6/4/2023 19:00	89.592		15.84	15.84	1014.6	51	11400		0	23.44	60.6	-0.2	18.13					
40	6/4/2023 19:05	89.614		15.84	15.84	1014.6	51	11700		0	23.438	60.7	-0.3	17.98					
41	6/4/2023 19:10	89.647		15.84	15.84	1014.6	51.1	12000		0	23.433	60.8	-0.2	17.84					
42	6/4/2023 19:15	89.563		15.84	15.84	1014.7	51.1	12300		0	23.443	60.9	-0.2	17.72					
43	6/4/2023 19:20	89.616		15.84	15.84	1014.7	51.2	12600		0	23.436	60.9	-0.3	17.54					
44	6/4/2023 19:25	89.526		15.84	15.84	1014.6	51.2	12900		0	23.45	61	-0.1	17.41					
45	6/4/2023 19:30	89.776		15.84	15.84	1014.8	51.2	13200		0	23.413	61.1	-0.4	17.28					
46	6/4/2023 19:35	89.527		15.84	15.84	1014.8	51.3	13500		0	23.446	61.1	-0.2	17.13					
47	6/4/2023 19:40	89.706		15.84	15.84	1014.8	51.3	13800		0	23.423	61.1	-0.2	17					
48	6/4/2023 19:45	89.542		15.84	15.84	1014.8	51.4	14100		0	23.445	61.2	-0.1	16.87					
49	6/4/2023 19:50	89.709		15.84	15.84	1014.8	51.4	14400		0	23.423	61.2	-0.2	16.72					
50	6/4/2023 19:55	89.673		15.84	15.84	1014.8	51.4	14700		0	23.428	61.3	-0.3	16.58					
51	6/4/2023 20:00	89.772		15.84	15.84	1014.8	51.5	15000		0	23.413	61.3	-0.1	16.47					
52	6/4/2023 20:05	89.68		15.84	15.84	1014.8	51.5	15300		0	23.426	61.5	0	16.36					
53	6/4/2023 20:10	89.629		15.84	15.84	1014.9	51.6	15600		0	23.432	61.5	-0.2	16.25					
54	6/4/2023 20:15	89.692		15.84	15.84	1014.9	51.6	15900		0	23.424	61.5	0	16.16					
55	6/4/2023 20:20	89.666		15.84	15.84	1015	51.7	16200		0	23.426	61.6	0	16.06					
56	6/4/2023 20:25	89.732		15.84	15.84	1015	51.7	16500		0	23.417	61.5	0	15.97					
57	6/4/2023 20:30	89.758		15.84	15.84	1015	51.8	16800		0	23.413	61.6	-0.2	15.89					
58	6/4/2023 20:35	90.035		15.84	15.84	1014.9	51.9	17100		0	23.377	61.7	0.1	15.82					
59	6/4/2023 20:40	89.764		15.84	15.84	1015	51.9	17400		0	23.413	61.6	0	15.74					
60	6/4/2023 20:45	89.592		15.83	15.83	1015	52	17700		0	23.436	61.7	-0.3	15.69					
61	6/4/2023 20:50	89.956		15.83	15.83	1015	52	18000		0	23.388	61.7	0	15.65					
62	6/4/2023 20:55	89.614		15.84	15.84	1014.9	52	18300		0	23.434	61.8	0	15.58					
63	6/4/2023 21:00	89.606		15.84	15.84	1014.9	52.1	18600		0	23.434	61.8	-0.3	15.55					
64	6/4/2023 21:05	89.677		15.84	15.84	1014.9	52.1	18900		0	23.425	61.8	-0.2	15.51					
65	6/4/2023 21:10	89.677		15.84	15.84	1015	52.2	19200		0	23.425	61.8	0	15.48					
66	6/4/2023 21:15	89.593		15.84	15.84	1015	52.2	19500		0	23.436	61.8	-0.1	15.46					
67	6/4/2023 21:20	89.648		15.83	15.83	1015	52.3	19800		0	23.429	61.8	0.1	15.42					
68	6/4/2023 21:25	89.735		15.83	15.83	1015.1	52.3	20100		0	23.416	61.9	-0.2	15.41					
69	6/4/2023 21:30	89.452		15.84	15.84	1015	52.4	20400		0	23.455	61.8	-0.2	15.4					
70	6/4/2023 21:35	89.517		15.84	15.84	1015	52.4	20700		0	23.446	61.9	-0.1	15.39					
71	6/4/2023 21:40	89.707		15.84	15.84	1014.9	52.5	21000		0	23.421	61.9	0	15.37					
72	6/4/2023 21:45	89.729		15.84	15.84	1014.8	52.5	21300		0	23.419	61.9	-0.2	15.36					
73	6/4/2023 21:50	89.611		15.83	15.83	1014.7	52.5	21600		0	23.437	61.8	-0.1	15.33					
74	6/4/2023 21:55	89.74		15.83	15.83	1014.8	52.6	21900		0	23.419	61.9	-0.2	15.32					
75	6/4/2023 22:00	89.708		15.83	15.83	1014.7	52.6	22200		0	23.424	61.9	-0.2	15.32					
76	6/4/2023 22:05	90.024		15.84	15.84	1014.7	52.7	22500		0	23.381	61.9	-0.1	15.28					
77	6/4/2023 22:10	89.693		15.83	15.83	1014.7	52.7	22800		0	23.426	61.9	-0.2	15.26					
78	6/4/2023 22:15	89.796		15.83	15.83	1014.6	52.8	23100		0	23.414	61.9	-0.3	15.26					
79	6/4/2023 22:20	89.697		15.83	15.83	1014.6	52.9	23400		0	23.427	61.9	-0.1	15.26					
80	6/4/2023 22:25	89.763		15.84	15.84	1014.6	52.9	23700		0	23.418	61.9	-0.2	15.25					
81	6/4/2023 22:30	89.915		15.83	15.83	1014.7	52.9	24000		0	23.397	61.9	-0.1	15.24					
82	6/4/2023 22:35	89.709		15.83	15.83	1014.7	53	24300		0	23.424	61.9	-0.3	15.22					
83	6/4/2023 22:40	89.879		15.83	15.83	1014.8	53	24600		0	23.401	61.9	-0.3	15.21					
84	6/4/2023 22:45	89.856		15.84	15.84	1014.7	53	24900		0	23.404	61.9	-0.3	15.18					
85	6/4/2023 22:50	89.786		15.84	15.84	1014.8	53.1	25200		0	23.412	61.9	-0.4	15.16					
86	6/4/2023 22:55	89.649		15.83	15.83	1015.1	53.1	25500		0	23.427	61.9	0	15.14					
87	6/4/2023 23:00	89.526		15.83	15.83	1015.2	53.3	25800		0	23.442	62	-0.2	15.18					
88	6/4/2023 23:05	90.141		15.84	15.84	1015	53.3	26100		0	23.362	61.9	-0.3	15.25					
89	6/4/2023 23:10	89.597		15.83	15.83	1015.2	53.3	26400		0	23.433	61.8	-0.3	15.27					
90	6/4/2023 23:15	90.031		15.84	15.84	1015.3	53.5	26700		0	23.373	61.8	-0.1	15.34					
91	6/4/2023 23:20	90.055		15.83	15.83	1015.2	53.4	27000		0	23.371	61.8	-0.1	15.34					
92	6/4/2023 23:25	89.785		15.83	15.83	1015.2	53.5	27300		0	23.408	61.8	-0.2	15.33					
93	6/4/2023 23:30	89.913		15.83	15.83	1015.1	53.5	27600		0	23.392	61.8	-0.3	15.29					
94	6/4/2023 23:35	89.675		15.84	15.84	1015.1	53.6	27900		0	23.424	61.8	0	15.26					
95	6/4/2023 23:40	89.954		15.83	15.83	1014.9	53.6	28200		0	23.388	61.8	-0.3	15.23					
96	6/4/2023 23:45	89.769		15.83	15.83	1014.9	53.7	28500		0	23.414	61.8	-0.1	15.18					
97	6/4/2023 23:50	89.976		15.83	15.83	1014.9	53.7	28800		0	23.386	61.8	-0.1	15.14					
98	6/4/2023 23:55	90.041		15.84	15.84	1014.9	53.7	29100		0	23.376	61.8	-0.2	15.09					
99	6/5/2023 0:00	89.914		15.83	15.83	1015	53.7	29400		0	23.393	61.8	-0.2	15.03					
100	6/5/2023 0:05	89.942		15.82	15.82	1014.9	53.8	29700		0	23.391	61.9	-0.2	14.96					
101	6/5/2023 0:10	89.646		15.84	15.84	1014.8	53.8	30000		0	23.431	61.9	-0.1	14.89					
102	6/5/2023 0:15	90.075		15.83	15.83	1014.8	53.9	30300		0	23.374	61.9	-0.3	14.82					
103	6/5/2023 0:20	89.673		15.84	15.84	1014.7	53.9	30600		0	23.428	62	-0.2	14.74					
104	6/5/2023 0:25	90.055		15.84	15.84	1014.8	54	30900		0	23.376	61.9	-0.1	14.67					
105	6/5/2023 0:30	89.731		15.83	15.83	1014.8	54	31200		0	23.42	62	-0.5	14.62					
106	6/5/2023 0:35	89.92		15.83	15.83	1014.9	54.1	31500		0	23.394	62.1	-0.4	14.54					
107	6/5/2023 0:40	89.393		15.83	15.83	1014.9	54.1	31800		0	23.465	62.2	-0.4	14.47					
108	6/5/2023 0:45	89.587		15.83	15.83	1014.9	54.2	32100		0	23.439	62.3	-0.3	14.44					
109	6/5/2023 0:50	89.337		15.83	15.83	1014.8	54.3	32400		0	23.473	62.4	-0.3	14.43					
110	6/5/2023 0:55	89.216		15.83	15.83	1014.7	54.3	32700		0	23.491	62.4	-0.3	14.46					
111	6/5/2023 1:00	89.283		15.82	15.82	1014.8	54.4	33000		0	23.481	62.4	-0.3	14.5					
112	6/5/2023 1:05	89.312		15.83	15.83	1014.8	54.5	33300		0	23.477	62.3	-0.4	14.59					
113	6/5/2023 1:10	89.31		15.82	15.82	1014.8	54.5	33600		0	23.478	62.3	-0.3	14.67					
114	6/5/2023 1:15	89.287		15.83	15.83	1014.8	54.5	33900		0	23.481	62.2	0	14.73					
115	6/5/2023 1:20	89.413		15.82	15.82	1014.8	54.6	34200		0	23.465	62.2	-0.2	14.77					
116	6/5/2023 1:25	89.354		15.83	15.83	1014.8	54.6	34500		0	23.472	62.2	-0.2	14.82					
117	6/5/2023 1:30	89.351		15.82	15.82	1014.7	54.7	34800		0	23.473	62.2	-0.2	14.84					
118	6/5/2023 1:35	89.244		15.82	15.82	1014.7	54.7	35100		0	23.488	62.2	0	14.88					
119	6/5/2023 1:40	89.138		15.82	15.82	1014.7	54.8	35400		0	23.503	62.2	-0.2	14.91					
120	6/5/2023 1:45	89.163		15.82	15.82	1014.7	54.8	35700		0	23.499	62.2	-0.2	14.93					
121	6/5/2023 1:50	89.334		15.83	15.83	1014.6	54.8	36000		0	23.477	62.2	-0.1	14.96					
122	6/5/2023 1:55	89.032		15.82	15.82	1014.6	54.9	36300		0	23.518	62.1	-0.1	14.99					
123	6/5/2023 2:00	89.368		15.82	15.82	1014.6	55	36600		0	23.472	62.1	-0.1	15.02					
124	6/5/2023 2:05	89.348		15.82	15.82	1014.6	55	36900		0	23.475	62.1	-0.1	15.05					
125	6/5/2023 2:10	89.541		15.82	15.82	1014.5	55.1	37200		0	23.45	62.1	-0.4	15.07					
126	6/5/2023 2:15	89.521		15.82	15.82	1014.5	55.1	37500		0	23.453	62.1	-0.3	15.08					
127	6/5/2023 2:20	89.228		15.82	15.82	1014.5	55.2	37800		0	23.492	62.1	0	15.11					
128	6/5/2023 2:25	89.246		15.82	15.82	1014.6	55.2	38100		0	23.489	62.1	-0.1	15.13					
129	6/5/2023 2:30	89.145		15.83	15.83	1014.6	55.3	38400		0	23.503	62	-0.4	15.15					
130	6/5/2023 2:35	89.251		15.82	15.82	1014.6	55.3	38700		0	23.488	62.1	0	15.18					
131	6/5/2023 2:40	89.338		15.81	15.81	1014.6	55.3	39000		0	23.477	62	-0.1	15.18					
132	6/5/2023 2:45	89.411		15.82	15.82	1014.7	55.4	39300		0	23.466	62.1	-0.3	15.2					
133	6/5/2023 2:50	89.261		15.81	15.81	1014.7	55.5	39600		0	23.487	62	-0.2	15.21					
134	6/5/2023 2:55	89.381		15.82	15.82	1014.6	55.5	39900		0	23.47	62	-0.2	15.23					
135	6/5/2023 3:00	89.513		15.82	15.82	1014.6	55.6	40200		0	23.452	62	-0.2	15.24					
136	6/5/2023 3:05	89.304		15.81	15.81	1014.8	55.6	40500		0	23.48	62.1	-0.3	15.28					
137	6/5/2023 3:10	89.318		15.82	15.82	1014.8	55.7	40800		0	23.478	62	-0.3	15.31					
138	6/5/2023 3:15	89.082		15.82	15.82	1014.8	55.7	41100		0	23.509	61.9	-0.3	15.35					
139	6/5/2023 3:20	89.31		15.81	15.81	1014.8	55.8	41400		0	23.479	61.9	-0.3	15.36					
140	6/5/2023 3:25	89.569		15.82	15.82	1014.8	55.8	41700		0	23.444	61.9	-0.3	15.36					
141	6/5/2023 3:30	89.153		15.82	15.82	1014.8	55.9	42000		0	23.5	61.9	-0.2	15.39					
142	6/5/2023 3:35	89.362		15.81	15.81	1014.7	55.9	42300		0	23.473	61.9	-0.3	15.41					
143	6/5/2023 3:40	89.484		15.82	15.82	1014.7	56	42600		0	23.456	61.9	-0.1	15.41					
144	6/5/2023 3:45	89.459		15.81	15.81	1014.7	56	42900		0	23.46	61.9	-0.4	15.42					
145	6/5/2023 3:50	89.358		15.81	15.81	1014.8	56	43200		0	23.473	61.9	-0.3	15.4					
146	6/5/2023 3:55	89.136		15.81	15.81	1014.9	56.1	43500		0	23.501	61.9	-0.2	15.38					
147	6/5/2023 4:00	89.172		15.81	15.81	1014.9	56.1	43800		0	23.496	61.9	-0.4	15.35					
148	6/5/2023 4:05	89.394		15.81	15.81	1014.9	56.1	44100		0	23.466	61.8	-0.1	15.31					
149	6/5/2023 4:10	89.335		15.81	15.81	1014.9	56.2	44400		0	23.474	61.9	-0.1	15.26					
150	6/5/2023 4:15	89.117		15.82	15.82	1015	56.2	44700		0	23.502	61.8	-0.4	15.18					
151	6/5/2023 4:20	89.33		15.81	15.81	1015	56.3	45000		0	23.474	61.9	-0.3	15.12					
152	6/5/2023 4:25	89.559		15.81	15.81	1015.1	56.3	45300		0	23.443	61.9	-0.1	15.08					
153	6/5/2023 4:30	89.594		15.81	15.81	1015.2	56.4	45600		0	23.437	61.9	-0.1	15.02					
154	6/5/2023 4:35	89.277		15.8	15.8	1015.3	56.4	45900		0	23.479	62	-0.2	14.98					
155	6/5/2023 4:40	89.692		15.81	15.81	1015.3	56.5	46200		0	23.422	62	-0.3	14.95					
156	6/5/2023 4:45	89.339		15.81	15.81	1015.3	56.6	46500		0	23.47	61.9	-0.1	14.93					
157	6/5/2023 4:50	89.456		15.81	15.81	1015.3	56.6	46800		0	23.453	62	-0.4	14.91					
158	6/5/2023 4:55	89.358		15.81	15.81	1015.4	56.6	47100		0	23.466	62	-0.1	14.89					
159	6/5/2023 5:00	89.568		15.8	15.8	1015.5	56.7	47400		0	23.437	62	-0.1	14.88					
160	6/5/2023 5:05	89.547		15.8	15.8	1015.7	56.7	47700		0	23.437	62	-0.1	14.88					
161	6/5/2023 5:10	89.272		15.8	15.8	1015.6	56.8	48000		0	23.476	62	-0.1	14.86					
162	6/5/2023 5:15	89.36		15.8	15.8	1015.8	56.8	48300		0	23.462	61.9	-0.1	14.85					
