#Log_File	LOG006																		
#Comment																			
#Device	FireStingGO2_Pocket_Oxygen_Meter																		
#Firmware	3.38																		
#Unique_ID	24796C035B27F293																		
#Manufacturer	Pyro_Science_GmbH																		
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity														
#	XB7-547-207	Water	%air sat.	Sensor	0.0 psu														
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%																
#	XB7-547-207	4-Jun-23	not cal.																
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency												
#	Sensor	Sensor	0 psu	default	15%	400x	4000 Hz												
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	54.700°	21.191°	20.00°C	23.23°C	1016 mbar	48%RH	0.804	0.122	4000 Hz	#NAME?	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	#NAME?	0	20.95%O2
#																			
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%air sat.)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)					
1	6/9/2023 15:15	87.761		15.62	15.62	1008.8	48.6	0		0	23.786	59.8	-0.4	22.11					
2	6/9/2023 15:20	87.964		15.63	15.63	1008.8	50	300		0	23.757	59.4	-0.5	22.31					
3	6/9/2023 15:25	95.393		15.62	15.62	1008.9	50.2	600		0	22.779	55.6	-0.3	22.55					
4	6/9/2023 15:30	93.547		15.63	15.63	1008.7	50.5	900		0	23.015	56.3	-0.5	22.57					
5	6/9/2023 15:35	92.871		15.62	15.62	1008.9	50.7	1200		0	23.101	56.6	-0.6	22.51					
6	6/9/2023 15:40	92.525		15.62	15.62	1009	50.6	1500		0	23.145	56.7	-0.4	22.37					
7	6/9/2023 15:45	92.476		15.62	15.62	1009	50.7	1800		0	23.151	56.9	-0.4	22.1					
8	6/9/2023 15:50	92.302		15.62	15.62	1008.9	50.6	2100		0	23.175	57	-0.3	21.85					
9	6/9/2023 15:55	92.116		15.62	15.62	1009	50.6	2400		0	23.198	57.2	-0.3	21.72					
10	6/9/2023 16:00	92.331		15.63	15.63	1009	50.4	2700		0	23.169	57.3	-0.3	21.76					
11	6/9/2023 16:05	91.879		15.62	15.62	1009.1	50.5	3000		0	23.228	57.3	-0.2	21.7					
12	6/9/2023 16:10	92.016		15.62	15.62	1009.1	50.5	3300		0	23.21	57.3	-0.3	21.7					
13	6/9/2023 16:15	92.019		15.63	15.63	1009.2	50.4	3600		0	23.207	57.3	-0.3	21.58					
14	6/9/2023 16:20	92.127		15.62	15.62	1009.2	50.4	3900		0	23.194	57.4	-0.3	21.38					
15	6/9/2023 16:25	91.818		15.63	15.63	1009.3	50.4	4200		0	23.233	57.4	-0.3	21.21					
16	6/9/2023 16:30	92.343		15.63	15.63	1009.3	50.3	4500		0	23.164	57.5	-0.3	21.02					
17	6/9/2023 16:35	92.108		15.63	15.63	1009.4	50.3	4800		0	23.194	57.6	-0.1	20.83					
18	6/9/2023 16:40	92.285		15.63	15.63	1009.3	50.3	5100		0	23.172	57.7	-0.3	20.68					
19	6/9/2023 16:45	92.161		15.63	15.63	1009.2	50.4	5400		0	23.189	57.8	-0.2	20.71					
20	6/9/2023 16:50	92.068		15.63	15.63	1009.2	50.4	5700		0	23.201	57.8	-0.1	20.71					
