#Log_File	LOG006																		
#Comment																			
#Device	FireStingGO2_Pocket_Oxygen_Meter																		
#Firmware	3.38																		
#Unique_ID	24796C035B27F293																		
#Manufacturer	Pyro_Science_GmbH																		
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity														
#	XB7-547-207	Water	%air sat.	Sensor	0.0 psu														
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%																
#	XB7-547-207	4-Jun-23	not cal.																
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency												
#	Sensor	Sensor	0 psu	default	15%	400x	4000 Hz												
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	54.700°	21.191°	20.00°C	23.23°C	1016 mbar	48%RH	0.804	0.122	4000 Hz	#NAME?	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	#NAME?	0	20.95%O2
#																			
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%air sat.)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)					
21	6/9/2023 16:55	92.049		15.63	15.63	1009.1	50.3	6000		0	23.204	57.8	-0.3	20.67					
22	6/9/2023 17:00	92.023		15.62	15.62	1009.2	50.4	6300		0	23.208	57.8	-0.3	20.62					
23	6/9/2023 17:05	92.236		15.62	15.62	1009.3	50.4	6600		0	23.179	57.8	-0.2	20.59					
24	6/9/2023 17:10	92.081		15.63	15.63	1009.3	50.5	6900		0	23.198	57.8	-0.4	20.55					
25	6/9/2023 17:15	92.116		15.63	15.63	1009.3	50.5	7200		0	23.193	57.9	-0.3	20.53					
26	6/9/2023 17:20	92.011		15.63	15.63	1009.4	50.5	7500		0	23.206	57.9	-0.1	20.47					
27	6/9/2023 17:25	92.483		15.63	15.63	1009.3	50.6	7800		0	23.145	57.9	-0.2	20.4					
28	6/9/2023 17:30	92.425		15.64	15.64	1009.3	50.6	8100		0	23.152	57.9	-0.1	20.35					
29	6/9/2023 17:35	91.987		15.63	15.63	1009.4	50.7	8400		0	23.209	58	-0.3	20.31					
30	6/9/2023 17:40	92.093		15.63	15.63	1009.5	50.8	8700		0	23.194	58	-0.4	20.29					
31	6/9/2023 17:45	92.283		15.63	15.63	1009.5	50.9	9000		0	23.169	58	-0.1	20.26					
32	6/9/2023 17:50	92.065		15.63	15.63	1009.6	51	9300		0	23.196	58	-0.3	20.14					
33	6/9/2023 17:55	92.09		15.64	15.64	1009.5	51.2	9600		0	23.193	58	-0.4	20.05					
34	6/9/2023 18:00	92.081		15.64	15.64	1009.6	51.3	9900		0	23.194	58	-0.3	19.91					
35	6/9/2023 18:05	91.769		15.63	15.63	1009.6	51.5	10200		0	23.235	58.1	-0.3	19.74					
36	6/9/2023 18:10	92.17		15.63	15.63	1009.6	51.7	10500		0	23.182	58.2	-0.2	19.55					
37	6/9/2023 18:15	92.268		15.63	15.63	1009.7	51.9	10800		0	23.169	58.3	-0.3	19.41					
38	6/9/2023 18:20	91.975		15.63	15.63	1009.6	52	11100		0	23.208	58.3	-0.4	19.27					
39	6/9/2023 18:25	92.16		15.64	15.64	1009.8	52.1	11400		0	23.18	58.4	-0.4	19.12					
40	6/9/2023 18:30	92.304		15.63	15.63	1009.8	52.3	11700		0	23.162	58.5	-0.3	18.96					
41	6/9/2023 18:35	92.064		15.63	15.63	1009.9	52.4	12000		0	23.192	58.6	-0.2	18.83					
42	6/9/2023 18:40	91.823		15.63	15.63	1010	52.5	12300		0	23.223	58.7	-0.2	18.7					
43	6/9/2023 18:45	92.216		15.64	15.64	1010.1	52.6	12600		0	23.17	58.7	-0.2	18.56					
44	6/9/2023 18:50	92.319		15.64	15.64	1010.1	52.8	12900		0	23.157	58.8	-0.4	18.41					
45	6/9/2023 18:55	91.991		15.64	15.64	1010.1	52.8	13200		0	23.199	58.9	-0.2	18.26					
46	6/9/2023 19:00	92.239		15.64	15.64	1010.3	53	13500		0	23.164	58.9	-0.3	18.11					
47	6/9/2023 19:05	91.973		15.64	15.64	1010.3	53.1	13800		0	23.199	58.9	-0.2	17.98					
48	6/9/2023 19:10	92.227		15.63	15.63	1010.3	53.2	14100		0	23.165	59	-0.1	17.84					
49	6/9/2023 19:15	92.175		15.64	15.64	1010.4	53.4	14400		0	23.171	59.1	-0.5	17.72					
50	6/9/2023 19:20	91.881		15.64	15.64	1010.5	53.5	14700		0	23.208	59.1	-0.3	17.58					
51	6/9/2023 19:25	92.22		15.64	15.64	1010.5	53.7	15000		0	23.164	59.2	-0.2	17.48					
52	6/9/2023 19:30	92.231		15.64	15.64	1010.6	53.9	15300		0	23.161	59.3	-0.2	17.38					
53	6/9/2023 19:35	92.006		15.64	15.64	1010.6	54	15600		0	23.19	59.3	-0.1	17.27					
54	6/9/2023 19:40	91.935		15.65	15.65	1010.7	54.2	15900		0	23.197	59.3	-0.2	17.18					
55	6/9/2023 19:45	92.019		15.65	15.65	1010.8	54.3	16200		0	23.185	59.4	-0.3	17.11					
56	6/9/2023 19:50	92.097		15.64	15.64	1010.8	54.5	16500		0	23.176	59.4	-0.2	17.05					
57	6/9/2023 19:55	92.258		15.64	15.64	1011	54.7	16800		0	23.152	59.5	-0.4	17.1					
58	6/9/2023 20:00	92.423		15.65	15.65	1011.1	54.5	17100		0	23.128	59.5	-0.2	17.25					
59	6/9/2023 20:05	92.296		15.65	15.65	1010.9	54.4	17400		0	23.148	59.3	-0.2	17.25					
60	6/9/2023 20:10	92.244		15.64	15.64	1010.9	54.3	17700		0	23.155	59.3	-0.2	17.17					
61	6/9/2023 20:15	91.986		15.65	15.65	1010.9	54.4	18000		0	23.189	59.4	-0.3	17.06					
62	6/9/2023 20:20	92.264		15.64	15.64	1010.9	54.4	18300		0	23.153	59.4	-0.2	16.97					
63	6/9/2023 20:25	92.352		15.64	15.64	1010.9	54.5	18600		0	23.142	59.4	-0.1	16.89					
64	6/9/2023 20:30	92.391		15.65	15.65	1010.9	54.6	18900		0	23.135	59.5	-0.2	16.82					
65	6/9/2023 20:35	91.978		15.65	15.65	1011	54.7	19200		0	23.189	59.5	-0.3	16.71					
66	6/9/2023 20:40	92.321		15.65	15.65	1011.1	54.8	19500		0	23.142	59.5	0	16.61					
67	6/9/2023 20:45	92.269		15.64	15.64	1011.2	54.9	19800		0	23.149	59.6	0	16.54					
68	6/9/2023 20:50	92.316		15.65	15.65	1011.3	55	20100		0	23.141	59.6	-0.2	16.45					
69	6/9/2023 20:55	92.418		15.65	15.65	1011.4	55	20400		0	23.127	59.7	-0.1	16.36					
70	6/9/2023 21:00	92.45		15.65	15.65	1011.6	55.1	20700		0	23.12	59.7	-0.2	16.26					
71	6/9/2023 21:05	92.434		15.65	15.65	1011.6	55.2	21000		0	23.121	59.7	-0.1	16.19					
72	6/9/2023 21:10	92.336		15.65	15.65	1011.6	55.4	21300		0	23.134	59.8	-0.2	16.14					
73	6/9/2023 21:15	92.549		15.65	15.65	1011.7	55.4	21600		0	23.105	59.8	-0.2	16.1					
74	6/9/2023 21:20	92.596		15.65	15.65	1011.8	55.5	21900		0	23.099	59.8	-0.2	16.07					
75	6/9/2023 21:25	92.451		15.65	15.65	1011.8	55.6	22200		0	23.117	59.9	-0.2	16.02					
76	6/9/2023 21:30	92.203		15.66	15.66	1011.7	55.7	22500		0	23.149	59.8	0	15.99					
77	6/9/2023 21:35	92.516		15.65	15.65	1011.7	55.6	22800		0	23.11	59.9	0	15.97					
78	6/9/2023 21:40	92.367		15.66	15.66	1011.7	55.8	23100		0	23.128	59.8	-0.2	15.94					
79	6/9/2023 21:45	92.427		15.65	15.65	1011.7	55.9	23400		0	23.121	59.9	-0.1	15.92					
80	6/9/2023 21:50	92.342		15.66	15.66	1011.7	56	23700		0	23.131	59.9	-0.3	15.88					
81	6/9/2023 21:55	92.642		15.65	15.65	1011.6	56	24000		0	23.094	59.9	-0.2	15.82					
82	6/9/2023 22:00	92.17		15.65	15.65	1011.6	56.1	24300		0	23.155	59.9	-0.1	15.77					
83	6/9/2023 22:05	92.384		15.65	15.65	1011.7	56.2	24600		0	23.127	59.9	-0.3	15.7					
84	6/9/2023 22:10	92.504		15.65	15.65	1011.6	56.3	24900		0	23.111	59.9	-0.2	15.64					
85	6/9/2023 22:15	92.406		15.66	15.66	1011.6	56.4	25200		0	23.124	60	-0.3	15.55					
86	6/9/2023 22:20	92.345		15.66	15.66	1011.6	56.4	25500		0	23.132	60	0	15.45					
87	6/9/2023 22:25	92.575		15.66	15.66	1011.5	56.5	25800		0	23.103	60.1	-0.1	15.35					
88	6/9/2023 22:30	92.585		15.66	15.66	1011.5	56.6	26100		0	23.102	60	-0.3	15.25					
89	6/9/2023 22:35	92.637		15.66	15.66	1011.6	56.6	26400		0	23.095	60.1	-0.1	15.14					
90	6/9/2023 22:40	92.432		15.66	15.66	1011.6	56.7	26700		0	23.121	60.2	0.1	15.02					
91	6/9/2023 22:45	92.221		15.66	15.66	1011.7	56.8	27000		0	23.147	60.2	0	14.91					
92	6/9/2023 22:50	92.585		15.66	15.66	1011.6	56.9	27300		0	23.1	60.3	-0.2	14.8					
93	6/9/2023 22:55	92.51		15.66	15.66	1011.6	57.1	27600		0	23.11	60.3	0.1	14.73					
94	6/9/2023 23:00	92.611		15.66	15.66	1011.7	57.2	27900		0	23.097	60.4	-0.1	14.66					
95	6/9/2023 23:05	92.342		15.66	15.66	1011.7	57.3	28200		0	23.131	60.4	0	14.58					
96	6/9/2023 23:10	92.348		15.66	15.66	1011.7	57.4	28500		0	23.13	60.4	-0.1	14.5					
97	6/9/2023 23:15	92.437		15.66	15.66	1011.7	57.6	28800		0	23.119	60.4	-0.2	14.45					
98	6/9/2023 23:20	92.579		15.66	15.66	1011.6	57.7	29100		0	23.101	60.5	-0.1	14.37					
99	6/9/2023 23:25	92.845		15.66	15.66	1011.6	57.8	29400		0	23.067	60.5	-0.2	14.32					
100	6/9/2023 23:30	92.442		15.67	15.67	1011.6	58	29700		0	23.118	60.6	0	14.28					
101	6/9/2023 23:35	92.756		15.67	15.67	1011.7	58	30000		0	23.077	60.5	-0.2	14.19					
102	6/9/2023 23:40	92.509		15.66	15.66	1011.7	58.2	30300		0	23.11	60.6	-0.1	14.14					
103	6/9/2023 23:45	92.499		15.66	15.66	1011.7	58.2	30600		0	23.111	60.6	-0.2	14.08					
104	6/9/2023 23:50	92.659		15.67	15.67	1011.6	58.4	30900		0	23.09	60.6	0	14.02					
105	6/9/2023 23:55	92.365		15.66	15.66	1011.6	58.4	31200		0	23.129	60.6	-0.1	13.95					
106	6/10/2023 0:00	92.544		15.66	15.66	1011.5	58.5	31500		0	23.107	60.6	0	13.87					
107	6/10/2023 0:05	92.453		15.66	15.66	1011.4	58.7	31800		0	23.12	60.7	-0.1	13.84					
108	6/10/2023 0:10	92.613		15.66	15.66	1011.3	58.7	32100		0	23.101	60.7	0	13.75					
109	6/10/2023 0:15	92.533		15.66	15.66	1011.3	58.8	32400		0	23.111	60.8	-0.2	13.66					
110	6/10/2023 0:20	92.533		15.66	15.66	1011.2	58.9	32700		0	23.111	60.8	0	13.58					
111	6/10/2023 0:25	92.862		15.66	15.66	1011.3	59	33000		0	23.069	60.7	-0.3	13.47					
112	6/10/2023 0:30	92.608		15.66	15.66	1011.3	59.1	33300		0	23.101	60.8	0.1	13.38					
113	6/10/2023 0:35	92.846		15.66	15.66	1011.2	59.2	33600		0	23.072	60.8	-0.1	13.3					
114	6/10/2023 0:40	92.682		15.67	15.67	1011.2	59.3	33900		0	23.092	60.9	-0.1	13.21					
115	6/10/2023 0:45	92.478		15.66	15.66	1011.2	59.5	34200		0	23.119	61	0.1	13.15					
116	6/10/2023 0:50	92.587		15.67	15.67	1011.3	59.6	34500		0	23.104	61	0	13.07					
117	6/10/2023 0:55	92.295		15.67	15.67	1011.3	59.7	34800		0	23.142	61	0	13.01					
118	6/10/2023 1:00	92.887		15.67	15.67	1011.2	59.8	35100		0	23.065	61	-0.1	12.95					
119	6/10/2023 1:05	92.456		15.67	15.67	1011.2	59.9	35400		0	23.121	61	0	12.89					
120	6/10/2023 1:10	92.577		15.66	15.66	1011.1	60	35700		0	23.107	61.1	0	12.84					
121	6/10/2023 1:15	92.636		15.67	15.67	1011.1	60.2	36000		0	23.098	61.1	0.1	12.79					
122	6/10/2023 1:20	92.602		15.67	15.67	1011.2	60.2	36300		0	23.103	61.1	0.1	12.73					
123	6/10/2023 1:25	92.481		15.67	15.67	1011.1	60.3	36600		0	23.119	61.1	-0.1	12.68					
124	6/10/2023 1:30	92.484		15.67	15.67	1011.2	60.4	36900		0	23.118	61.1	-0.1	12.61					
125	6/10/2023 1:35	92.601		15.66	15.66	1011.2	60.5	37200		0	23.103	61.1	-0.1	12.56					
126	6/10/2023 1:40	92.504		15.67	15.67	1011.2	60.6	37500		0	23.115	61.1	0	12.49					
127	6/10/2023 1:45	92.502		15.66	15.66	1011.1	60.7	37800		0	23.117	61.2	-0.2	12.43					
128	6/10/2023 1:50	92.587		15.66	15.66	1011.1	60.8	38100		0	23.107	61.2	0	12.38					
129	6/10/2023 1:55	92.456		15.67	15.67	1011.1	60.9	38400		0	23.123	61.3	0	12.33					
130	6/10/2023 2:00	92.401		15.67	15.67	1011.1	61	38700		0	23.13	61.2	0	12.28					
131	6/10/2023 2:05	92.565		15.67	15.67	1011.1	61.1	39000		0	23.108	61.3	0	12.23					
132	6/10/2023 2:10	92.602		15.67	15.67	1011.2	61.3	39300		0	23.102	61.3	0	12.21					
133	6/10/2023 2:15	92.601		15.67	15.67	1011.1	61.3	39600		0	23.103	61.3	-0.1	12.18					
134	6/10/2023 2:20	92.544		15.67	15.67	1011.3	61.4	39900		0	23.108	61.3	0	12.15					
135	6/10/2023 2:25	92.698		15.66	15.66	1011.1	61.6	40200		0	23.091	61.3	0	12.11					
136	6/10/2023 2:30	92.707		15.67	15.67	1011.2	61.6	40500		0	23.089	61.3	-0.3	12.08					
137	6/10/2023 2:35	92.661		15.66	15.66	1011.3	61.7	40800		0	23.094	61.3	0	12.07					
138	6/10/2023 2:40	92.556		15.66	15.66	1011.2	61.8	41100		0	23.108	61.3	0	12.06					
139	6/10/2023 2:45	92.549		15.66	15.66	1011.3	61.9	41400		0	23.109	61.3	-0.2	12.03					
140	6/10/2023 2:50	92.697		15.66	15.66	1011.2	61.9	41700		0	23.09	61.3	-0.4	11.98					
141	6/10/2023 2:55	92.597		15.65	15.65	1011.2	62	42000		0	23.104	61.3	-0.1	11.93					
142	6/10/2023 3:00	92.565		15.66	15.66	1011.2	62.1	42300		0	23.107	61.4	-0.2	11.88					
143	6/10/2023 3:05	92.567		15.66	15.66	1011.3	62.2	42600		0	23.106	61.4	0.1	11.85					
144	6/10/2023 3:10	92.687		15.66	15.66	1011.1	62.3	42900		0	23.093	61.4	-0.1	11.8					
145	6/10/2023 3:15	92.654		15.67	15.67	1011.1	62.3	43200		0	23.097	61.4	0	11.76					
146	6/10/2023 3:20	92.824		15.67	15.67	1011.1	62.4	43500		0	23.075	61.4	-0.2	11.71					
147	6/10/2023 3:25	92.425		15.66	15.66	1011.1	62.5	43800		0	23.127	61.5	0	11.66					
148	6/10/2023 3:30	92.64		15.66	15.66	1011.1	62.6	44100		0	23.099	61.4	-0.1	11.62					
149	6/10/2023 3:35	92.606		15.67	15.67	1011.1	62.6	44400		0	23.103	61.4	-0.2	11.57					
150	6/10/2023 3:40	92.822		15.66	15.66	1011.1	62.8	44700		0	23.076	61.5	-0.1	11.52					
151	6/10/2023 3:45	92.554		15.66	15.66	1011.1	62.8	45000		0	23.11	61.5	0	11.48					
152	6/10/2023 3:50	92.569		15.66	15.66	1011.1	62.9	45300		0	23.109	61.5	-0.3	11.44					
153	6/10/2023 3:55	92.584		15.67	15.67	1011.1	63	45600		0	23.106	61.5	-0.2	11.38					
154	6/10/2023 4:00	92.674		15.67	15.67	1011.2	63.1	45900		0	23.093	61.5	-0.1	11.34					
155	6/10/2023 4:05	92.615		15.67	15.67	1011.3	63.1	46200		0	23.1	61.5	-0.1	11.32					
156	6/10/2023 4:10	92.773		15.66	15.66	1011.3	63.2	46500		0	23.079	61.6	0	11.28					
157	6/10/2023 4:15	92.889		15.66	15.66	1011.3	63.3	46800		0	23.065	61.6	0	11.24					
158	6/10/2023 4:20	92.596		15.66	15.66	1011.3	63.4	47100		0	23.102	61.6	0	11.21					
159	6/10/2023 4:25	92.737		15.66	15.66	1011.4	63.5	47400		0	23.083	61.6	-0.2	11.2					
160	6/10/2023 4:30	92.668		15.66	15.66	1011.5	63.5	47700		0	23.091	61.6	0.2	11.15					
161	6/10/2023 4:35	92.67		15.66	15.66	1011.6	63.6	48000		0	23.09	61.6	0.1	11.12					
162	6/10/2023 4:40	92.887		15.65	15.65	1011.6	63.7	48300		0	23.062	61.6	-0.1	11.09					
163	6/10/2023 4:45	93.01		15.65	15.65	1011.7	63.8	48600		0	23.045	61.6	0	11.06					
164	6/10/2023 4:50	92.697		15.65	15.65	1011.8	63.8	48900		0	23.085	61.6	0	11.04					
165	6/10/2023 4:55	92.994		15.66	15.66	1011.9	63.9	49200		0	23.045	61.6	0	11.01					
166	6/10/2023 5:00	92.914		15.65	15.65	1011.9	64	49500		0	23.056	61.6	-0.1	10.99					
167	6/10/2023 5:05	92.938		15.66	15.66	1011.9	64.1	49800		0	23.051	61.7	0.1	10.98					
168	6/10/2023 5:10	92.978		15.66	15.66	1011.9	64.1	50100		0	23.046	61.7	0.1	10.99					
169	6/10/2023 5:15	92.766		15.65	15.65	1012	64.2	50400		0	23.074	61.6	-0.1	10.99					
170	6/10/2023 5:20	92.752		15.66	15.66	1012	64.3	50700		0	23.075	61.6	0.1	11.01					
171	6/10/2023 5:25	92.891		15.65	15.65	1012	64.4	51000		0	23.057	61.7	0.1	11.03					
172	6/10/2023 5:30	92.661		15.64	15.64	1012.2	64.5	51300		0	23.086	61.6	0	11.06					
173	6/10/2023 5:35	93.069		15.65	15.65	1012.2	64.6	51600		0	23.031	61.6	-0.1	11.1					
174	6/10/2023 5:40	92.929		15.65	15.65	1012.3	64.7	51900		0	23.049	61.6	0	11.18					
175	6/10/2023 5:45	92.773		15.65	15.65	1012.3	64.7	52200		0	23.069	61.6	-0.1	11.25					
176	6/10/2023 5:50	93.057		15.65	15.65	1012.4	64.8	52500		0	23.032	61.6	0	11.33					
177	6/10/2023 5:55	92.505		15.65	15.65	1012.3	64.9	52800		0	23.104	61.5	-0.1	11.43					
178	6/10/2023 6:00	92.603		15.65	15.65	1012.3	65	53100		0	23.09	61.5	-0.1	11.53					
179	6/10/2023 6:05	92.647		15.65	15.65	1012.4	65	53400		0	23.085	61.4	0	11.64					
180	6/10/2023 6:10	92.91		15.64	15.64	1012.3	65.1	53700		0	23.051	61.4	0	11.75					
181	6/10/2023 6:15	92.659		15.65	15.65	1012.4	65.2	54000		0	23.083	61.4	-0.1	11.88					
182	6/10/2023 6:20	92.876		15.64	15.64	1012.3	65.2	54300		0	23.056	61.3	-0.3	12.02					
183	6/10/2023 6:25	92.529		15.64	15.64	1012.4	65.3	54600		0	23.101	61.2	0.1	12.19					
184	6/10/2023 6:30	92.666		15.64	15.64	1012.4	65.4	54900		0	23.083	61.2	0.3	12.36					
185	6/10/2023 6:35	92.667		15.64	15.64	1012.4	65.5	55200		0	23.083	61.1	0	12.58					
186	6/10/2023 6:40	92.76		15.64	15.64	1012.5	65.6	55500		0	23.07	61	-0.3	12.81					
187	6/10/2023 6:45	92.94		15.63	15.63	1012.5	65.7	55800		0	23.047	60.9	0	13.02					
188	6/10/2023 6:50	92.801		15.64	15.64	1012.4	65.7	56100		0	23.066	60.8	-0.1	13.21					
189	6/10/2023 6:55	92.902		15.63	15.63	1012.4	65.8	56400		0	23.053	60.8	0.2	13.43					
190	6/10/2023 7:00	92.767		15.63	15.63	1012.5	65.8	56700		0	23.069	60.6	0.1	13.66					
191	6/10/2023 7:05	92.843		15.63	15.63	1012.6	65.9	57000		0	23.059	60.5	0	13.89					
192	6/10/2023 7:10	92.657		15.64	15.64	1012.5	65.9	57300		0	23.083	60.4	-0.1	14.13					
193	6/10/2023 7:15	92.801		15.63	15.63	1012.5	65.8	57600		0	23.065	60.3	0	14.36					
194	6/10/2023 7:20	92.671		15.63	15.63	1012.5	65.8	57900		0	23.082	60.2	-0.2	14.6					
195	6/10/2023 7:25	92.647		15.63	15.63	1012.4	65.8	58200		0	23.085	60.1	0	14.86					
196	6/10/2023 7:30	92.744		15.62	15.62	1012.4	65.7	58500		0	23.075	60	0.1	15.16					
197	6/10/2023 7:35	92.664		15.63	15.63	1012.5	65.7	58800		0	23.084	59.8	-0.1	15.45					
198	6/10/2023 7:40	92.418		15.62	15.62	1012.6	65.5	59100		0	23.115	59.7	0	15.74					
199	6/10/2023 7:45	92.756		15.62	15.62	1012.6	65.6	59400		0	23.071	59.7	-0.2	16.09					
200	6/10/2023 7:50	92.653		15.62	15.62	1012.6	66	59700		0	23.084	59.6	-0.2	16.93					
201	6/10/2023 7:55	92.546		15.62	15.62	1012.6	65.4	60000		0	23.098	59.1	0	17.38					
202	6/10/2023 8:00	92.63		15.61	15.61	1012.6	65.1	60300		0	23.087	59.1	-0.1	17.84					
203	6/10/2023 8:05	92.846		15.62	15.62	1012.7	64.6	60600		0	23.058	58.6	0	18.18					
204	6/10/2023 8:10	92.826		15.62	15.62	1012.7	64.4	60900		0	23.061	58.5	-0.2	18.4					
205	6/10/2023 8:15	92.764		15.61	15.61	1012.7	64.2	61200		0	23.069	58.5	-0.3	18.53					
206	6/10/2023 8:20	92.698		15.61	15.61	1012.6	64.2	61500		0	23.079	58.4	-0.3	18.66					
207	6/10/2023 8:25	92.769		15.61	15.61	1012.6	64	61800		0	23.071	58.3	0	18.86					
208	6/10/2023 8:30	92.501		15.62	15.62	1012.6	63.9	62100		0	23.104	58.2	-0.2	19.05					
209	6/10/2023 8:35	92.514		15.61	15.61	1012.6	63.6	62400		0	23.103	58.2	0	19.26					
210	6/10/2023 8:40	92.705		15.61	15.61	1012.6	63.4	62700		0	23.079	58	-0.2	19.47					
211	6/10/2023 8:45	92.623		15.61	15.61	1012.5	63.1	63000		0	23.09	58	-0.2	19.71					
212	6/10/2023 8:50	92.636		15.61	15.61	1012.5	62.8	63300		0	23.089	57.9	0	19.96					
213	6/10/2023 8:55	92.467		15.6	15.6	1012.5	62.7	63600		0	23.111	57.7	-0.2	20.15					
214	6/10/2023 9:00	92.496		15.6	15.6	1012.4	62.3	63900		0	23.11	57.7	-0.3	20.4					
215	6/10/2023 9:05	92.284		15.6	15.6	1012.4	62.3	64200		0	23.137	57.6	-0.2	20.62					
216	6/10/2023 9:10	92.411		15.6	15.6	1012.3	61.9	64500		0	23.121	57.4	-0.3	20.86					
217	6/10/2023 9:15	92.525		15.6	15.6	1012.4	61.7	64800		0	23.105	57.3	-0.3	21.07					
218	6/10/2023 9:20	92.619		15.6	15.6	1012.3	61.3	65100		0	23.094	57.2	-0.2	21.27					
219	6/10/2023 9:25	92.484		15.6	15.6	1012.4	61	65400		0	23.111	57.2	-0.2	21.46					
220	6/10/2023 9:30	92.38		15.6	15.6	1012.4	60.7	65700		0	23.124	57	-0.2	21.66					
221	6/10/2023 9:35	92.407		15.59	15.59	1012.4	60.3	66000		0	23.123	56.9	-0.1	21.89					
222	6/10/2023 9:40	92.548		15.6	15.6	1012.4	60.1	66300		0	23.102	56.8	-0.3	22.13					
223	6/10/2023 9:45	92.532		15.6	15.6	1012.5	60	66600		0	23.104	56.7	-0.1	22.32					
224	6/10/2023 9:50	92.66		15.59	15.59	1012.5	59.5	66900		0	23.088	56.6	-0.3	22.53					
225	6/10/2023 9:55	92.451		15.6	15.6	1012.3	59.2	67200		0	23.116	56.5	-0.3	22.74					
226	6/10/2023 10:00	92.665		15.6	15.6	1012.3	58.7	67500		0	23.089	56.4	-0.5	22.95					
227	6/10/2023 10:05	92.501		15.59	15.59	1012.4	58.2	67800		0	23.109	56.3	-0.3	23.14					
