Date,Plot,plot_ID,stem_ID,Leaf Collection Time,A,gs,Ci,water_potential,water potential time
6/13/23,Control,C,15,8:07,2.65,0.030,252,0.93,
6/13/23,Control,C,14,8:08,1.45,0.030,306,1.23,
6/13/23,Control,C,13,8:09,2.03,0.030,260,0.98,
6/13/23,Control,C,18,8:12,2.40,0.030,264,1.06,
6/13/23,Control,C,17,8:13,2.30,0.030,256,0.96,
6/13/23,Control,C,16,8:14,2.80,0.040,274,0.87,
6/13/23,Control,C,15,8:35,4.01,0.060,280,0.86,
6/13/23,Control,C,14,8:34,1.70,0.020,271,1.56,
6/13/23,Control,C,13,8:34,1.02,0.020,296,0.72,
6/13/23,Control,C,17,8:36,2.14,0.030,272,0.67,
6/13/23,Control,C,16,8:38,2.40,0.040,286,1.03,
6/13/23,Control,C,18,8:40,2.00,0.030,295,0.98,
6/13/23,Salt,S,14,8:15,1.80,0.026,278,,
6/13/23,Salt,S,17,8:16,1.80,0.050,330,,
6/13/23,Salt,S,16,8:21,1.20,0.021,292,,
6/13/23,Salt,S,13,8:25,1.37,0.024,296,,
6/13/23,Salt,S,18,8:27,0.70,0.024,343,,
6/13/23,Salt,S,15,8:28,0.70,0.030,350,,
6/13/23,Salt,S,14,8:33,1.57,0.050,338,,
6/13/23,Salt,S,15,8:37,1.40,0.035,326,,
6/13/23,Salt,S,16,8:43,3.50,0.058,289,,
6/13/23,Salt,S,13,8:48,1.78,0.041,319,,
6/13/23,Salt,S,18,9:01,1.40,0.025,310,,
6/13/23,Salt,S,17,9:07,0.24,0.036,375,,
6/13/23,Salt,S,14,9:29,2.80,0.058,307,,
6/13/23,Salt,S,18,9:34,2.48,0.035,275,,
6/13/23,Salt,S,17,9:40,2.80,0.060,309,,
6/13/23,Salt,S,15,9:46,1.35,0.046,325,,
6/13/23,Salt,S,16,9:52,5.70,0.080,271,,
6/13/23,Salt,S,13,9:57,1.70,0.028,291,,
6/13/23,Salt,S,14,10:01,3.16,0.062,302,,
6/13/23,Salt,S,15,10:05,1.55,0.030,299,,
6/13/23,Salt,S,16,10:09,1.45,0.023,293,,
6/13/23,Salt,S,14,10:12,2.09,0.039,298,,
6/13/23,Salt,S,13,10:15,1.90,0.027,280,,
6/13/23,Salt,S,18,10:18,2.80,0.040,275,,
6/13/23,Salt,S,18,10:25,1.45,0.026,293,,
6/13/23,Salt,S,17,10:28,1.97,0.026,273,,
6/13/23,Salt,S,14,10:31,1.40,0.020,299,,
6/13/23,Salt,S,13,10:36,1.32,0.015,268,,
6/13/23,Salt,S,15,10:39,0.75,0.030,294,,
6/13/23,Salt,S,16,10:42,1.01,0.014,280,,
6/13/23,Salt,S,16,10:46,3.86,0.041,231,,
6/13/23,Salt,S,17,10:50,2.94,0.030,258,,
6/13/23,Control,C,15,9:02,4.30,0.070,281,0.72,WPT = 1027
6/13/23,Control,C,13,9:04,1.70,0.020,248,0.68,NPT = 1024
6/13/23,Control,C,14,9:05,2.38,0.050,305,1.03,NPT = 1022
6/13/23,Control,C,17,9.06,1.40,0.020,285,0.56,NPT = 1020
6/13/23,Control,C,16,9:07,1.48,0.030,292,1.10,UPT = 1017
6/13/23,Control,C,18,9:08,1.83,0.020,258,1.16,UPT = 1015
6/13/23,Control,C,18,9:30,2.43,0.040,284,0.95,UPT = 101
6/13/23,Control,C,17,9:32,2.59,0.040,278,1.30,NPT = 1009
6/13/23,Control,C,16,9:33,1.10,0.030,313,1.33,NPT = 1005
6/13/23,Control,C,13,9:35,1.52,0.030,288,1.53,NPT = 954
6/13/23,Control,C,14,9:36,1.70,0.030,295,1.60,NPT = 1002
6/13/23,Control,C,15,9:37,2.98,0.050,290,1.88,NPT : 958
6/13/23,Control,C,13,9:59,2.75,0.060,305,1.21,WPT = 1121
6/13/23,Control,C,14,10:00,1.35,0.030,324,1.84,NPT = 1110
6/13/23,Control,C,17,10:02,1.43,0.030,247,1.18,WPT = 1113
6/13/23,Control,C,18,10:03,1.22,0.030,316,0.82,WPT = 1116
6/13/23,Control,C,15,10107,3.02,0.050,395,1.27,WPT = 1118
6/13/23,Control,C,16,10:05,0.87,0.020,323,1.48,WPT = 1108
