#--- Experiment --------------------------------------------------------------------------
#230605_fw_tempest_4
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#WARD_FIRESTING2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:2411E508596FD910 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XA7-540-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	6/3/2023	12/31/2000	20.826000	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.760000	27.550000	59.742000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
09-06-2023	15:34:12.107	191.569	89.256	23.365	374	0	OK	09-06-2023	15:34:12.107	191.569	17.372	OK	09-06-2023	15:34:12.107	191.569	1007	OK
09-06-2023	15:39:12.106	491.568	89.221	23.369	374	0	OK	09-06-2023	15:39:12.106	491.568	17.377	OK	09-06-2023	15:39:12.106	491.568	1007	OK
09-06-2023	15:44:12.107	791.569	89.299	23.359	374	0	OK	09-06-2023	15:44:12.107	791.569	17.381	OK	09-06-2023	15:44:12.107	791.569	1007	OK
09-06-2023	15:49:12.107	1091.569	89.205	23.370	373	0	OK	09-06-2023	15:49:12.107	1091.569	17.377	OK	09-06-2023	15:49:12.107	1091.569	1008	OK
09-06-2023	15:54:12.107	1391.569	89.276	23.360	372	0	OK	09-06-2023	15:54:12.107	1391.569	17.385	OK	09-06-2023	15:54:12.107	1391.569	1008	OK
09-06-2023	15:59:12.108	1691.570	89.204	23.369	372	0	OK	09-06-2023	15:59:12.108	1691.570	17.388	OK	09-06-2023	15:59:12.108	1691.570	1008	OK
09-06-2023	16:04:12.108	1991.570	89.259	23.361	371	0	OK	09-06-2023	16:04:12.108	1991.570	17.390	OK	09-06-2023	16:04:12.108	1991.570	1008	OK
09-06-2023	16:09:12.109	2291.571	89.155	23.373	371	0	OK	09-06-2023	16:09:12.109	2291.571	17.401	OK	09-06-2023	16:09:12.109	2291.571	1008	OK
09-06-2023	16:14:12.108	2591.570	89.186	23.366	370	0	OK	09-06-2023	16:14:12.108	2591.570	17.403	OK	09-06-2023	16:14:12.108	2591.570	1008	OK
09-06-2023	16:19:12.109	2891.571	89.204	23.365	369	0	OK	09-06-2023	16:19:12.109	2891.571	17.403	OK	09-06-2023	16:19:12.109	2891.571	1008	OK
09-06-2023	16:24:12.111	3191.573	89.322	23.348	368	0	OK	09-06-2023	16:24:12.111	3191.573	17.407	OK	09-06-2023	16:24:12.111	3191.573	1008	OK
09-06-2023	16:29:12.109	3491.571	89.248	23.358	367	0	OK	09-06-2023	16:29:12.109	3491.571	17.407	OK	09-06-2023	16:29:12.109	3491.571	1008	OK
09-06-2023	16:34:12.111	3791.573	89.194	23.365	367	0	OK	09-06-2023	16:34:12.111	3791.573	17.409	OK	09-06-2023	16:34:12.111	3791.573	1008	OK
09-06-2023	16:39:12.109	4091.571	89.147	23.371	366	0	OK	09-06-2023	16:39:12.109	4091.571	17.413	OK	09-06-2023	16:39:12.109	4091.571	1008	OK
09-06-2023	16:44:12.110	4391.572	89.224	23.362	366	0	OK	09-06-2023	16:44:12.110	4391.572	17.411	OK	09-06-2023	16:44:12.110	4391.572	1008	OK
