column_or_row_name,Unit,Definition,column_or_row_long_name,Type,Data_Type,Instrument_ifapplicable
plot,NA,"TEMPEST plot identifier (Control, Freshwater, or Saltwater)",,Column header,text,NA
k,NA,Fick's Law constant calculated from sapflux density and water potentials,,Column header,numeric,NA
