plot,condition,co2,type,measurement,unit
Control,0_preflood,5.37,soil,flux,umol_m2_s
Control,0_preflood,7.203,soil,flux,umol_m2_s
Control,0_preflood,9.04,soil,flux,umol_m2_s
Control,0_preflood,9.87,soil,flux,umol_m2_s
Control,0_preflood,8.51,soil,flux,umol_m2_s
Control,0_preflood,6.01,soil,flux,umol_m2_s
Control,0_preflood,5.35,soil,flux,umol_m2_s
Control,0_preflood,6.35,soil,flux,umol_m2_s
Control,0_preflood,NA,soil,flux,umol_m2_s
Control,0_preflood,11.17,soil,flux,umol_m2_s
Control,0_preflood,3.61,soil,flux,umol_m2_s
Control,0_preflood,4.31,soil,flux,umol_m2_s
Control,0_preflood,5.78,soil,flux,umol_m2_s
Control,0_preflood,6.82,soil,flux,umol_m2_s
Control,0_preflood,6.46,soil,flux,umol_m2_s
Control,0_preflood,18.22,soil,flux,umol_m2_s
Saltwater,0_preflood,10.12,soil,flux,umol_m2_s
Saltwater,0_preflood,8.06,soil,flux,umol_m2_s
Saltwater,0_preflood,8.52,soil,flux,umol_m2_s
Saltwater,0_preflood,NA,soil,flux,umol_m2_s
Saltwater,0_preflood,6.87,soil,flux,umol_m2_s
Saltwater,0_preflood,4.21,soil,flux,umol_m2_s
Saltwater,0_preflood,NA,soil,flux,umol_m2_s
Saltwater,0_preflood,NA,soil,flux,umol_m2_s
Saltwater,0_preflood,4.95,soil,flux,umol_m2_s
Saltwater,0_preflood,5.9,soil,flux,umol_m2_s
Saltwater,0_preflood,0,soil,flux,umol_m2_s
Saltwater,0_preflood,8.31,soil,flux,umol_m2_s
Saltwater,0_preflood,5.23,soil,flux,umol_m2_s
Saltwater,0_preflood,4.03,soil,flux,umol_m2_s
Saltwater,0_preflood,3.18,soil,flux,umol_m2_s
Saltwater,0_preflood,NA,soil,flux,umol_m2_s
Freshwater,0_preflood,NA,soil,flux,umol_m2_s
Freshwater,0_preflood,5.13,soil,flux,umol_m2_s
Freshwater,0_preflood,5.96,soil,flux,umol_m2_s
Freshwater,0_preflood,8.66,soil,flux,umol_m2_s
Freshwater,0_preflood,8.69,soil,flux,umol_m2_s
Freshwater,0_preflood,6.88,soil,flux,umol_m2_s
Freshwater,0_preflood,5.23,soil,flux,umol_m2_s
Freshwater,0_preflood,6.65,soil,flux,umol_m2_s
Freshwater,0_preflood,5.79,soil,flux,umol_m2_s
Freshwater,0_preflood,6.09,soil,flux,umol_m2_s
Freshwater,0_preflood,NA,soil,flux,umol_m2_s
Freshwater,0_preflood,NA,soil,flux,umol_m2_s
Freshwater,0_preflood,18.7,soil,flux,umol_m2_s
Freshwater,0_preflood,12.25,soil,flux,umol_m2_s
Freshwater,0_preflood,6.39,soil,flux,umol_m2_s
Freshwater,0_preflood,4.59,soil,flux,umol_m2_s
Control,0_preflood,7.317,soil,flux,umol_m2_s
Control,0_preflood,10.675,soil,flux,umol_m2_s
Control,0_preflood,8.672,soil,flux,umol_m2_s
Control,0_preflood,NA,soil,flux,umol_m2_s
Control,0_preflood,13.143,soil,flux,umol_m2_s
Control,0_preflood,8,soil,flux,umol_m2_s
Control,0_preflood,5.729,soil,flux,umol_m2_s
Control,0_preflood,8.501,soil,flux,umol_m2_s
Control,0_preflood,20.83,soil,flux,umol_m2_s
Control,0_preflood,10.4,soil,flux,umol_m2_s
Control,0_preflood,7.27,soil,flux,umol_m2_s
Control,0_preflood,8.176,soil,flux,umol_m2_s
Control,0_preflood,5.556,soil,flux,umol_m2_s
Control,0_preflood,6.756,soil,flux,umol_m2_s
Control,0_preflood,4.929,soil,flux,umol_m2_s
Control,0_preflood,6.634,soil,flux,umol_m2_s
Saltwater,0_preflood,7.615,soil,flux,umol_m2_s
Saltwater,0_preflood,10.948,soil,flux,umol_m2_s
Saltwater,0_preflood,5.273,soil,flux,umol_m2_s
Saltwater,0_preflood,6.851,soil,flux,umol_m2_s
Saltwater,0_preflood,12.17,soil,flux,umol_m2_s
Saltwater,0_preflood,NA,soil,flux,umol_m2_s
Saltwater,0_preflood,6.202,soil,flux,umol_m2_s
Saltwater,0_preflood,8.699,soil,flux,umol_m2_s
Saltwater,0_preflood,5.152,soil,flux,umol_m2_s
Saltwater,0_preflood,9.605,soil,flux,umol_m2_s
Saltwater,0_preflood,10.877,soil,flux,umol_m2_s
Saltwater,0_preflood,8.73,soil,flux,umol_m2_s
Saltwater,0_preflood,12.47,soil,flux,umol_m2_s
Saltwater,0_preflood,4.708,soil,flux,umol_m2_s
Saltwater,0_preflood,3.472,soil,flux,umol_m2_s
Saltwater,0_preflood,4.614,soil,flux,umol_m2_s
Freshwater,0_preflood,NA,soil,flux,umol_m2_s
Freshwater,0_preflood,10.73,soil,flux,umol_m2_s
Freshwater,0_preflood,18.587,soil,flux,umol_m2_s
Freshwater,0_preflood,8.733,soil,flux,umol_m2_s
Freshwater,0_preflood,NA,soil,flux,umol_m2_s
Freshwater,0_preflood,6.317,soil,flux,umol_m2_s
Freshwater,0_preflood,5.791,soil,flux,umol_m2_s
Freshwater,0_preflood,NA,soil,flux,umol_m2_s
Freshwater,0_preflood,NA,soil,flux,umol_m2_s
