plot,k
Control,0.920866268
Control,0.502108936
Control,0.409100203
Control,0.130091846
Control,0.50644145
Control,0.743701275
Freshwater,3.927258801
Freshwater,1.460730907
Freshwater,0.815501259
Freshwater,0.521946064
Freshwater,0.563858182
Freshwater,1.092698125
Saltwater,1.042714522
Saltwater,1.320505262
Saltwater,1.751481698
Saltwater,0.802370977
Saltwater,0.836765662
Saltwater,0.310113049
