datetime_est,plot,depth,vwc_m3m3,ec_uscm
2023-06-02 00:00,Control,5,0.318657646,80.33333333
2023-06-02 00:00,Control,15,0.310162636,57.5
2023-06-02 00:00,Control,30,0.369349711,128.6666667
2023-06-02 00:00,Freshwater,5,0.362492673,109.6
2023-06-02 00:00,Freshwater,15,0.321143309,80.8
2023-06-02 00:00,Freshwater,30,0.33923962,82.2
2023-06-02 00:00,Saltwater,5,0.356809163,111.8
2023-06-02 00:00,Saltwater,15,0.319654549,87.6
2023-06-02 00:00,Saltwater,30,0.298544255,77.4
2023-06-02 00:15,Control,5,0.318677041,83.66666667
2023-06-02 00:15,Control,15,0.310449682,58
2023-06-02 00:15,Control,30,0.369154468,125.3333333
2023-06-02 00:15,Freshwater,5,0.362208731,108
2023-06-02 00:15,Freshwater,15,0.321121587,80.4
2023-06-02 00:15,Freshwater,30,0.339451413,81.2
2023-06-02 00:15,Saltwater,5,0.356650899,113.8
2023-06-02 00:15,Saltwater,15,0.319580848,86
2023-06-02 00:15,Saltwater,30,0.298569081,77.4
2023-06-02 00:30,Control,5,0.318587824,81.66666667
2023-06-02 00:30,Control,15,0.310408952,58.5
2023-06-02 00:30,Control,30,0.368977327,126.3333333
2023-06-02 00:30,Freshwater,5,0.361889877,109.8
2023-06-02 00:30,Freshwater,15,0.321133224,80.4
2023-06-02 00:30,Freshwater,30,0.339299357,81.4
2023-06-02 00:30,Saltwater,5,0.356525996,110.6
2023-06-02 00:30,Saltwater,15,0.319538179,87
2023-06-02 00:30,Saltwater,30,0.298482191,77.6
2023-06-02 00:45,Control,5,0.31878436,83.66666667
2023-06-02 00:45,Control,15,0.31041671,59
2023-06-02 00:45,Control,30,0.368539,128
2023-06-02 00:45,Freshwater,5,0.362004695,110.4
2023-06-02 00:45,Freshwater,15,0.320885744,81
2023-06-02 00:45,Freshwater,30,0.339250481,81.2
2023-06-02 00:45,Saltwater,5,0.356944928,111
2023-06-02 00:45,Saltwater,15,0.319787211,85.6
2023-06-02 00:45,Saltwater,30,0.29873355,77.8
2023-06-02 01:00,Control,5,0.318989947,83
2023-06-02 01:00,Control,15,0.310436105,58
2023-06-02 01:00,Control,30,0.368749759,126.3333333
2023-06-02 01:00,Freshwater,5,0.362553962,109.4
2023-06-02 01:00,Freshwater,15,0.320956341,81.2
2023-06-02 01:00,Freshwater,30,0.3389774,80.8
2023-06-02 01:00,Saltwater,5,0.356599697,110.2
2023-06-02 01:00,Saltwater,15,0.319580848,87.8
2023-06-02 01:00,Saltwater,30,0.298404611,77.6
2023-06-02 01:15,Control,5,0.31883608,82.33333333
2023-06-02 01:15,Control,15,0.310488472,57
2023-06-02 01:15,Control,30,0.368972155,127.6666667
2023-06-02 01:15,Freshwater,5,0.362481036,109
2023-06-02 01:15,Freshwater,15,0.322313216,80.8
2023-06-02 01:15,Freshwater,30,0.338740781,82.2
2023-06-02 01:15,Saltwater,5,0.356786664,111.8
2023-06-02 01:15,Saltwater,15,0.319635154,86.8
2023-06-02 01:15,Saltwater,30,0.29870601,78.4
2023-06-02 01:30,Control,5,0.318806341,82.33333333
2023-06-02 01:30,Control,15,0.310207244,57.5
2023-06-02 01:30,Control,30,0.368935951,128
2023-06-02 01:30,Freshwater,5,0.362134254,108.8
2023-06-02 01:30,Freshwater,15,0.32243424,80.8
2023-06-02 01:30,Freshwater,30,0.338728368,81
2023-06-02 01:30,Saltwater,5,0.356783561,109.4
2023-06-02 01:30,Saltwater,15,0.319706528,87.2
2023-06-02 01:30,Saltwater,30,0.298530291,78
2023-06-02 01:45,Control,5,0.319008049,81.33333333
2023-06-02 01:45,Control,15,0.310564113,56.5
2023-06-02 01:45,Control,30,0.368986378,127.6666667
2023-06-02 01:45,Freshwater,5,0.362237435,108.4
2023-06-02 01:45,Freshwater,15,0.321085124,79.6
2023-06-02 01:45,Freshwater,30,0.338748539,81.6
2023-06-02 01:45,Saltwater,5,0.35687433,111.4
2023-06-02 01:45,Saltwater,15,0.319640585,87.4
2023-06-02 01:45,Saltwater,30,0.298479864,78.8
2023-06-02 02:00,Control,5,0.318834787,83.33333333
2023-06-02 02:00,Control,15,0.310717333,57.5
2023-06-02 02:00,Control,30,0.368683816,128
2023-06-02 02:00,Freshwater,5,0.362239763,108.4
2023-06-02 02:00,Freshwater,15,0.321082021,80.6
2023-06-02 02:00,Freshwater,30,0.338847841,81.2
2023-06-02 02:00,Saltwater,5,0.356442209,113.2
2023-06-02 02:00,Saltwater,15,0.319580848,87.8
2023-06-02 02:00,Saltwater,30,0.298571408,78.2
2023-06-02 02:15,Control,5,0.318886507,80.66666667
2023-06-02 02:15,Control,15,0.310329433,57
2023-06-02 02:15,Control,30,0.368438146,127.3333333
2023-06-02 02:15,Freshwater,5,0.362156752,109.2
2023-06-02 02:15,Freshwater,15,0.321081245,79.2
2023-06-02 02:15,Freshwater,30,0.338723713,82.2
2023-06-02 02:15,Saltwater,5,0.35687433,112.2
2023-06-02 02:15,Saltwater,15,0.319679375,87.4
2023-06-02 02:15,Saltwater,30,0.298531067,77.6
2023-06-02 02:30,Control,5,0.318739105,83
2023-06-02 02:30,Control,15,0.310488472,57.5
2023-06-02 02:30,Control,30,0.368404528,128.3333333
2023-06-02 02:30,Freshwater,5,0.362007023,108.6
2023-06-02 02:30,Freshwater,15,0.321033146,79.8
2023-06-02 02:30,Freshwater,30,0.338584069,81.4
2023-06-02 02:30,Saltwater,5,0.356567113,111.4
2023-06-02 02:30,Saltwater,15,0.319630499,86.8
2023-06-02 02:30,Saltwater,30,0.2982479,78.6
2023-06-02 02:45,Control,5,0.318794704,82.33333333
2023-06-02 02:45,Control,15,0.310436106,57.5
2023-06-02 02:45,Control,30,0.368876473,127.3333333
2023-06-02 02:45,Freshwater,5,0.362041934,110
2023-06-02 02:45,Freshwater,15,0.321086676,81.4
2023-06-02 02:45,Freshwater,30,0.338721386,80.2
2023-06-02 02:45,Saltwater,5,0.356654778,111.4
2023-06-02 02:45,Saltwater,15,0.319768592,87
2023-06-02 02:45,Saltwater,30,0.298576063,78.6
2023-06-02 03:00,Control,5,0.31896538,82.33333333
2023-06-02 03:00,Control,15,0.310329433,57.5
2023-06-02 03:00,Control,30,0.368379961,127
2023-06-02 03:00,Freshwater,5,0.36228825,109.4
2023-06-02 03:00,Freshwater,15,0.320995907,80.6
2023-06-02 03:00,Freshwater,30,0.338590275,81.6
2023-06-02 03:00,Saltwater,5,0.356591163,112
2023-06-02 03:00,Saltwater,15,0.319634378,88.4
2023-06-02 03:00,Saltwater,30,0.298500035,78.4
2023-06-02 03:15,Control,5,0.318832201,82
2023-06-02 03:15,Control,15,0.310655269,57.5
2023-06-02 03:15,Control,30,0.368169202,125.6666667
2023-06-02 03:15,Freshwater,5,0.362006247,110
2023-06-02 03:15,Freshwater,15,0.320953238,80.8
2023-06-02 03:15,Freshwater,30,0.3383715,80.8
2023-06-02 03:15,Saltwater,5,0.356901483,111.8
2023-06-02 03:15,Saltwater,15,0.319618862,87.2
2023-06-02 03:15,Saltwater,30,0.298455038,77.6
2023-06-02 03:30,Control,5,0.318795997,83.33333333
2023-06-02 03:30,Control,15,0.310655269,57.5
2023-06-02 03:30,Control,30,0.368673472,127.3333333
2023-06-02 03:30,Freshwater,5,0.362460866,107.8
2023-06-02 03:30,Freshwater,15,0.321189081,80.4
2023-06-02 03:30,Freshwater,30,0.338228753,82.2
2023-06-02 03:30,Saltwater,5,0.35664159,110.8
2023-06-02 03:30,Saltwater,15,0.319662307,87
2023-06-02 03:30,Saltwater,30,0.298627654,78.5
2023-06-02 03:45,Control,5,0.318940813,82.33333333
2023-06-02 03:45,Control,15,0.3103818,58
