column_or_row_name,Unit,Definition,column_or_row_long_name,Type,Data_Type,Instrument_ifapplicable
date,NA,Date of collection,,Column header,date,
plot,NA,"TEMPEST plot identifier (Control, Freshwater, or Saltwater)",,Column header,text,
plot_id,NA,"Abbreviated plot identifier (C, F, S)",,Column header,time,
collection_time,NA,"Time of collection, EST",,Column header,numeric,
a,ppm,Leaf photosynthesis rates,,Column header,numeric,
gs,mol m-2 s-1,Leaf stomatal conductance,,Column header,numeric,
ci,umol m-2 s-1,Intercellular carbon dioxide concentration,,Column header,numeric,
