datetime_est,do_percent_sat,depth,plot
6/5/23,81.16,5,Freshwater
6/5/23 0:05,81.263,5,Freshwater
6/5/23 0:10,81.189,5,Freshwater
6/5/23 0:15,81.182,5,Freshwater
6/5/23 0:20,81.2,5,Freshwater
6/5/23 0:25,81.178,5,Freshwater
6/5/23 0:30,81.167,5,Freshwater
6/5/23 0:35,81.182,5,Freshwater
6/5/23 0:40,81.189,5,Freshwater
6/5/23 0:45,81.169,5,Freshwater
6/5/23 0:50,81.232,5,Freshwater
6/5/23 0:55,81.174,5,Freshwater
6/5/23 1:00,81.142,5,Freshwater
6/5/23 1:05,81.111,5,Freshwater
6/5/23 1:10,81.108,5,Freshwater
6/5/23 1:15,81.24,5,Freshwater
6/5/23 1:20,81.206,5,Freshwater
6/5/23 1:25,81.258,5,Freshwater
6/5/23 1:30,81.185,5,Freshwater
6/5/23 1:35,81.159,5,Freshwater
6/5/23 1:40,81.217,5,Freshwater
6/5/23 1:45,81.246,5,Freshwater
6/5/23 1:50,81.147,5,Freshwater
6/5/23 1:55,81.174,5,Freshwater
6/5/23 2:00,81.167,5,Freshwater
6/5/23 2:05,81.107,5,Freshwater
6/5/23 2:10,81.244,5,Freshwater
6/5/23 2:15,81.168,5,Freshwater
6/5/23 2:20,81.2,5,Freshwater
6/5/23 2:25,81.194,5,Freshwater
6/5/23 2:30,81.077,5,Freshwater
6/5/23 2:35,81.192,5,Freshwater
6/5/23 2:40,81.109,5,Freshwater
6/5/23 2:45,81.115,5,Freshwater
6/5/23 2:50,81.218,5,Freshwater
6/5/23 2:55,81.172,5,Freshwater
6/5/23 3:00,81.076,5,Freshwater
6/5/23 3:05,81.093,5,Freshwater
6/5/23 3:10,81.133,5,Freshwater
6/5/23 3:15,81.154,5,Freshwater
6/5/23 3:20,81.174,5,Freshwater
6/5/23 3:25,81.168,5,Freshwater
6/5/23 3:30,81.14,5,Freshwater
6/5/23 3:35,81.179,5,Freshwater
6/5/23 3:40,81.135,5,Freshwater
6/5/23 3:45,81.145,5,Freshwater
6/5/23 3:50,81.142,5,Freshwater
6/5/23 3:55,81.167,5,Freshwater
6/5/23 4:00,81.133,5,Freshwater
6/5/23 4:05,81.081,5,Freshwater
6/5/23 4:10,81.133,5,Freshwater
6/5/23 4:15,81.093,5,Freshwater
6/5/23 4:20,81.096,5,Freshwater
6/5/23 4:25,81.204,5,Freshwater
6/5/23 4:30,81.103,5,Freshwater
6/5/23 4:35,81.149,5,Freshwater
6/5/23 4:40,81.131,5,Freshwater
6/5/23 4:45,81.135,5,Freshwater
6/5/23 4:50,81.194,5,Freshwater
6/5/23 4:55,81.071,5,Freshwater
6/5/23 5:00,81.146,5,Freshwater
6/5/23 5:05,81.11,5,Freshwater
6/5/23 5:10,81.014,5,Freshwater
6/5/23 5:15,81.128,5,Freshwater
6/5/23 5:20,81.101,5,Freshwater
6/5/23 5:25,81.05,5,Freshwater
6/5/23 5:30,81.026,5,Freshwater
6/5/23 5:35,81.079,5,Freshwater
6/5/23 5:40,81.088,5,Freshwater
6/5/23 5:45,81.111,5,Freshwater
6/5/23 5:50,81.048,5,Freshwater
6/5/23 5:55,81.056,5,Freshwater
6/5/23 6:00,81.084,5,Freshwater
6/5/23 6:05,81.108,5,Freshwater
6/5/23,82.675,10,Freshwater
6/5/23 0:05,82.692,10,Freshwater
6/5/23 0:10,82.616,10,Freshwater
6/5/23 0:15,82.596,10,Freshwater
6/5/23 0:20,82.587,10,Freshwater
6/5/23 0:25,82.623,10,Freshwater
6/5/23 0:30,82.622,10,Freshwater
6/5/23 0:35,82.599,10,Freshwater
6/5/23 0:40,82.619,10,Freshwater
6/5/23 0:45,82.551,10,Freshwater
6/5/23 0:50,82.655,10,Freshwater
6/5/23 0:55,82.568,10,Freshwater
6/5/23 1:00,82.588,10,Freshwater
6/5/23 1:05,82.534,10,Freshwater
6/5/23 1:10,82.55,10,Freshwater
6/5/23 1:15,82.523,10,Freshwater
6/5/23 1:20,82.561,10,Freshwater
6/5/23 1:25,82.532,10,Freshwater
6/5/23 1:30,82.457,10,Freshwater
6/5/23 1:35,82.533,10,Freshwater
6/5/23 1:40,82.453,10,Freshwater
6/5/23 1:45,82.443,10,Freshwater
6/5/23 1:50,82.467,10,Freshwater
6/5/23 1:55,82.417,10,Freshwater
6/5/23 2:00,82.474,10,Freshwater
6/5/23 2:05,82.384,10,Freshwater
6/5/23 2:10,82.369,10,Freshwater
6/5/23 2:15,82.402,10,Freshwater
6/5/23 2:20,82.34,10,Freshwater
6/5/23 2:25,82.401,10,Freshwater
6/5/23 2:30,82.411,10,Freshwater
6/5/23 2:35,82.378,10,Freshwater
6/5/23 2:40,82.294,10,Freshwater
6/5/23 2:45,82.343,10,Freshwater
6/5/23 2:50,82.324,10,Freshwater
6/5/23 2:55,82.35,10,Freshwater
6/5/23 3:00,82.396,10,Freshwater
6/5/23 3:05,82.356,10,Freshwater
6/5/23 3:10,82.386,10,Freshwater
6/5/23 3:15,82.386,10,Freshwater
6/5/23 3:20,82.314,10,Freshwater
6/5/23 3:25,82.317,10,Freshwater
6/5/23 3:30,82.315,10,Freshwater
6/5/23 3:35,82.313,10,Freshwater
6/5/23 3:40,82.299,10,Freshwater
6/5/23 3:45,82.24,10,Freshwater
