plot,condition,co2
Control,0_preflood,5.37
Control,0_preflood,7.203
Control,0_preflood,9.04
Control,0_preflood,9.87
Control,0_preflood,8.51
Control,0_preflood,6.01
Control,0_preflood,5.35
Control,0_preflood,6.35
Control,0_preflood,NA
Control,0_preflood,11.17
Control,0_preflood,3.61
Control,0_preflood,4.31
Control,0_preflood,5.78
Control,0_preflood,6.82
Control,0_preflood,6.46
Control,0_preflood,18.22
Saltwater,0_preflood,10.12
Saltwater,0_preflood,8.06
Saltwater,0_preflood,8.52
Saltwater,0_preflood,NA
Saltwater,0_preflood,6.87
Saltwater,0_preflood,4.21
Saltwater,0_preflood,NA
Saltwater,0_preflood,NA
Saltwater,0_preflood,4.95
Saltwater,0_preflood,5.9
Saltwater,0_preflood,0
Saltwater,0_preflood,8.31
Saltwater,0_preflood,5.23
Saltwater,0_preflood,4.03
Saltwater,0_preflood,3.18
Saltwater,0_preflood,NA
Freshwater,0_preflood,NA
Freshwater,0_preflood,5.13
Freshwater,0_preflood,5.96
Freshwater,0_preflood,8.66
Freshwater,0_preflood,8.69
Freshwater,0_preflood,6.88
Freshwater,0_preflood,5.23
Freshwater,0_preflood,6.65
Freshwater,0_preflood,5.79
Freshwater,0_preflood,6.09
Freshwater,0_preflood,NA
Freshwater,0_preflood,NA
Freshwater,0_preflood,18.7
Freshwater,0_preflood,12.25
Freshwater,0_preflood,6.39
Freshwater,0_preflood,4.59
Control,0_preflood,7.317
Control,0_preflood,10.675
Control,0_preflood,8.672
Control,0_preflood,NA
Control,0_preflood,13.143
Control,0_preflood,8
Control,0_preflood,5.729
Control,0_preflood,8.501
Control,0_preflood,20.83
Control,0_preflood,10.4
Control,0_preflood,7.27
Control,0_preflood,8.176
Control,0_preflood,5.556
Control,0_preflood,6.756
Control,0_preflood,4.929
Control,0_preflood,6.634
Saltwater,0_preflood,7.615
Saltwater,0_preflood,10.948
Saltwater,0_preflood,5.273
Saltwater,0_preflood,6.851
Saltwater,0_preflood,12.17
Saltwater,0_preflood,NA
Saltwater,0_preflood,6.202
Saltwater,0_preflood,8.699
Saltwater,0_preflood,5.152
Saltwater,0_preflood,9.605
Saltwater,0_preflood,10.877
Saltwater,0_preflood,8.73
Saltwater,0_preflood,12.47
Saltwater,0_preflood,4.708
Saltwater,0_preflood,3.472
Saltwater,0_preflood,4.614
Freshwater,0_preflood,NA
Freshwater,0_preflood,10.73
Freshwater,0_preflood,18.587
Freshwater,0_preflood,8.733
Freshwater,0_preflood,NA
Freshwater,0_preflood,6.317
Freshwater,0_preflood,5.791
Freshwater,0_preflood,NA
Freshwater,0_preflood,NA
Freshwater,0_preflood,5.718
Freshwater,0_preflood,3.806
Freshwater,0_preflood,6.036
Freshwater,0_preflood,8.817
Freshwater,0_preflood,21.275
Freshwater,0_preflood,4.633
Freshwater,0_preflood,4.385
Control,1_flood,12.769
Control,1_flood,13.771
Control,1_flood,31.562
Control,1_flood,13.058
Control,1_flood,22.256
Control,1_flood,14.046
Control,1_flood,9.539
Control,1_flood,7.336
Control,1_flood,5.911
Control,1_flood,5.078
Control,1_flood,5.845
Control,1_flood,6.748
Control,1_flood,10.683
Control,1_flood,7.216
Control,1_flood,NA
Control,1_flood,16.41
Control,1_flood,1.614
Saltwater,1_flood,6.741
Saltwater,1_flood,2.584
Saltwater,1_flood,1.309
Saltwater,1_flood,4.805
Saltwater,1_flood,0.884
Saltwater,1_flood,12.001
Saltwater,1_flood,1.864
Saltwater,1_flood,1.084
