date,plot,plot_id,collection_time,a,gs,ci
6/13/23,Control,C,8:07,2.65,0.03,252
6/13/23,Control,C,8:08,1.45,0.03,306
6/13/23,Control,C,8:09,2.03,0.03,260
6/13/23,Control,C,8:12,2.4,0.03,264
6/13/23,Control,C,8:13,2.3,0.03,256
6/13/23,Control,C,8:14,2.8,0.04,274
6/13/23,Control,C,8:35,4.01,0.06,280
6/13/23,Control,C,8:34,1.7,0.02,271
6/13/23,Control,C,8:34,1.02,0.02,296
6/13/23,Control,C,8:36,2.14,0.03,272
6/13/23,Control,C,8:38,2.4,0.04,286
6/13/23,Control,C,8:40,2,0.03,295
6/13/23,Salt,S,8:15,1.8,0.026,278
6/13/23,Salt,S,8:16,1.8,0.05,330
6/13/23,Salt,S,8:21,1.2,0.021,292
6/13/23,Salt,S,8:25,1.37,0.024,296
6/13/23,Salt,S,8:27,0.7,0.024,343
6/13/23,Salt,S,8:28,0.7,0.03,350
6/13/23,Salt,S,8:33,1.57,0.05,338
6/13/23,Salt,S,8:37,1.4,0.035,326
6/13/23,Salt,S,8:43,3.5,0.058,289
6/13/23,Salt,S,8:48,1.78,0.041,319
6/13/23,Salt,S,9:01,1.4,0.025,310
6/13/23,Salt,S,9:07,0.24,0.036,375
6/13/23,Salt,S,9:29,2.8,0.058,307
6/13/23,Salt,S,9:34,2.48,0.035,275
6/13/23,Salt,S,9:40,2.8,0.06,309
6/13/23,Salt,S,9:46,1.35,0.046,325
6/13/23,Salt,S,9:52,5.7,0.08,271
6/13/23,Salt,S,9:57,1.7,0.028,291
6/13/23,Salt,S,10:01,3.16,0.062,302
6/13/23,Salt,S,10:05,1.55,0.03,299
6/13/23,Salt,S,10:09,1.45,0.023,293
6/13/23,Salt,S,10:12,2.09,0.039,298
6/13/23,Salt,S,10:15,1.9,0.027,280
6/13/23,Salt,S,10:18,2.8,0.04,275
6/13/23,Salt,S,10:25,1.45,0.026,293
6/13/23,Salt,S,10:28,1.97,0.026,273
6/13/23,Salt,S,10:31,1.4,0.02,299
6/13/23,Salt,S,10:36,1.32,0.015,268
6/13/23,Salt,S,10:39,0.75,0.03,294
6/13/23,Salt,S,10:42,1.01,0.014,280
6/13/23,Salt,S,10:46,3.86,0.041,231
6/13/23,Salt,S,10:50,2.94,0.03,258
6/13/23,Control,C,9:02,4.3,0.07,281
6/13/23,Control,C,9:04,1.7,0.02,248
6/13/23,Control,C,9:05,2.38,0.05,305
6/13/23,Control,C,9.06,1.4,0.02,285
6/13/23,Control,C,9:07,1.48,0.03,292
6/13/23,Control,C,9:08,1.83,0.02,258
6/13/23,Control,C,9:30,2.43,0.04,284
6/13/23,Control,C,9:32,2.59,0.04,278
6/13/23,Control,C,9:33,1.1,0.03,313
6/13/23,Control,C,9:35,1.52,0.03,288
6/13/23,Control,C,9:36,1.7,0.03,295
6/13/23,Control,C,9:37,2.98,0.05,290
6/13/23,Control,C,9:59,2.75,0.06,305
6/13/23,Control,C,10:00,1.35,0.03,324
6/13/23,Control,C,10:02,1.43,0.03,247
6/13/23,Control,C,10:03,1.22,0.03,316
6/13/23,Control,C,10107,3.02,0.05,395
6/13/23,Control,C,10:05,0.87,0.02,323
6/13/23,Control,C,10131,1.72,0.04,308
6/13/23,Control,C,10:32,2.38,0.03,253
6/13/23,Control,C,10:35,1.75,0.03,303
6/13/23,Control,C,10:36,2.65,0.04,279
6/13/23,Control,C,10:37,1.46,0.03,317
6/13/23,Control,C,10:34,0.19,0.02,372
6/13/23,Control,C,11:01,1.93,0.03,280
6/13/23,Control,C,11:03,1.63,0.02,271
6/13/23,Control,C,11:04,1.7,0.03,295
6/13/23,Control,C,11:05,0.9,0.03,344
6/13/23,Control,C,11:06,1.04,0.02,315
6/13/23,Control,C,11:16,3.86,0.04,255
6/13/23,Control,C,11:31,1.29,0.02,287
6/13/23,Control,C,11:32,1.35,0.02,278
6/13/23,Control,C,11:34,1.24,0.02,297
6/13/23,Control,C,11:36,1.63,0.02,275
6/13/23,Control,C,11:39,2.32,0.05,301
6/13/23,Control,C,11:43,3.64,0.05,275
6/13/23,Control,C,13:00,2.04,0.03,281
6/13/23,Control,C,13:04,1.72,0.03,287
6/13/23,Control,C,13:07,1.94,0.04,293
6/13/23,Control,C,13:09,2.09,0.03,280
6/13/23,Control,C,13:11,2.96,0.05,291
6/13/23,Control,C,13:16,1.91,0.03,277
6/13/23,Control,C,13:31,1.55,0.02,281
6/13/23,Control,C,13:33,2.01,0.04,298
6/13/23,Control,C,13:35,2.42,0.04,200
6/13/23,Control,C,13:36,1.9,0.02,255
6/13/23,Control,C,13:38,1.6,0.03,306
6/13/23,Control,C,13:41,1.24,0.02,293
6/13/23,Fresh,F,3:00,,,
6/13/23,Fresh,F,3:02,,,
6/13/23,Control,C,11:58,1.4,0.03,298
6/13/23,Control,C,11:59,3.01,0.04,255
6/13/23,Control,C,12:04,0.58,0.03,335
6/13/23,Control,C,12:05,0.84,0.02,304
6/13/23,Control,C,12:13,2.71,0.05,292
6/13/23,Control,C,12:14,2.01,0.03,275
6/13/23,Control,C,12:31,2.49,0.04,270
6/13/23,Control,C,12:31,2.06,0.03,289
6/13/23,Control,C,12:38,2.46,0.04,287
6/13/23,Control,C,12:39,1.45,0.03,311
6/13/23,Control,C,12:44,1.48,0.03,304
6/13/23,Control,C,12:45,2.18,0.03,271
