datetime_est,plot,depth_cm,eh_mv
2023-06-05 18:25,Freshwater,50,801.47586
2023-06-05 18:30,Control,5,612.214125
2023-06-05 18:30,Control,15,708.46674
2023-06-05 18:30,Control,30,735.36126
2023-06-05 18:30,Control,50,789.30725
2023-06-05 18:30,Saltwater,5,666.7680333
2023-06-05 18:30,Saltwater,15,713.60626
2023-06-05 18:30,Saltwater,30,738.6949
2023-06-05 18:30,Saltwater,50,757.62858
2023-06-05 18:30,Freshwater,5,785.89173
2023-06-05 18:30,Freshwater,15,638.492865
2023-06-05 18:30,Freshwater,30,759.71346
2023-06-05 18:30,Freshwater,50,801.54332
2023-06-05 18:35,Control,5,612.5985
2023-06-05 18:35,Control,15,708.70586
2023-06-05 18:35,Control,30,734.9171
2023-06-05 18:35,Control,50,789.34995
2023-06-05 18:35,Saltwater,5,666.8821533
2023-06-05 18:35,Saltwater,15,713.8145333
2023-06-05 18:35,Saltwater,30,738.87424
2023-06-05 18:35,Saltwater,50,757.7059
2023-06-05 18:35,Freshwater,5,784.79708
2023-06-05 18:35,Freshwater,15,638.11779
2023-06-05 18:35,Freshwater,30,759.3489
2023-06-05 18:35,Freshwater,50,801.45134
2023-06-05 18:40,Control,5,612.812
2023-06-05 18:40,Control,15,708.80834
2023-06-05 18:40,Control,30,734.57546
2023-06-05 18:40,Control,50,789.4354
2023-06-05 18:40,Saltwater,5,667.0482067
2023-06-05 18:40,Saltwater,15,714.1538267
2023-06-05 18:40,Saltwater,30,738.87732
2023-06-05 18:40,Saltwater,50,757.64088
2023-06-05 18:40,Freshwater,5,784.22473
2023-06-05 18:40,Freshwater,15,637.709615
2023-06-05 18:40,Freshwater,30,758.35078
2023-06-05 18:40,Freshwater,50,801.54224
2023-06-05 18:45,Control,5,612.98285
2023-06-05 18:45,Control,15,708.97916
2023-06-05 18:45,Control,30,734.19962
2023-06-05 18:45,Control,50,789.34995
2023-06-05 18:45,Saltwater,5,667.2658933
2023-06-05 18:45,Saltwater,15,714.31676
2023-06-05 18:45,Saltwater,30,739.21546
2023-06-05 18:45,Saltwater,50,757.74008
2023-06-05 18:45,Freshwater,5,782.580905
2023-06-05 18:45,Freshwater,15,637.03949
2023-06-05 18:45,Freshwater,30,758.94074
2023-06-05 18:45,Freshwater,50,801.24964
2023-06-05 18:50,Control,5,613.3939444
2023-06-05 18:50,Control,15,709.01332
2023-06-05 18:50,Control,30,733.858
2023-06-05 18:50,Control,50,789.392675
2023-06-05 18:50,Saltwater,5,667.5089333
2023-06-05 18:50,Saltwater,15,714.3707
2023-06-05 18:50,Saltwater,30,739.33862
2023-06-05 18:50,Saltwater,50,757.86396
2023-06-05 18:50,Freshwater,5,781.38307
2023-06-05 18:50,Freshwater,15,636.6628667
2023-06-05 18:50,Freshwater,30,758.53188
2023-06-05 18:50,Freshwater,50,801.55166
2023-06-05 18:55,Control,5,613.4206889
2023-06-05 18:55,Control,15,709.01334
2023-06-05 18:55,Control,30,733.31134
2023-06-05 18:55,Control,50,789.478075
2023-06-05 18:55,Saltwater,5,667.67354
2023-06-05 18:55,Saltwater,15,714.77614
2023-06-05 18:55,Saltwater,30,739.47092
2023-06-05 18:55,Saltwater,50,757.82556
2023-06-05 18:55,Freshwater,5,780.335485
2023-06-05 18:55,Freshwater,15,636.3773433
2023-06-05 18:55,Freshwater,30,758.21958
2023-06-05 18:55,Freshwater,50,801.5474
2023-06-05 19:00,Control,5,613.6238083
2023-06-05 19:00,Control,15,709.08848
2023-06-05 19:00,Control,30,732.8402
2023-06-05 19:00,Control,50,789.52875
2023-06-05 19:00,Saltwater,5,667.8563133
2023-06-05 19:00,Saltwater,15,715.1675
2023-06-05 19:00,Saltwater,30,739.52192
2023-06-05 19:00,Saltwater,50,757.8771
2023-06-05 19:00,Freshwater,5,779.530325
2023-06-05 19:00,Freshwater,15,636.337445
2023-06-05 19:00,Freshwater,30,757.96334
2023-06-05 19:00,Freshwater,50,801.22442
2023-06-05 19:05,Control,5,614.0488833
2023-06-05 19:05,Control,15,709.3474333
2023-06-05 19:05,Control,30,732.42768
2023-06-05 19:05,Control,50,789.568625
2023-06-05 19:05,Saltwater,5,668.08536
2023-06-05 19:05,Saltwater,15,715.27686
2023-06-05 19:05,Saltwater,30,739.8022
