do_percent_sat,depth,plot,datetime_est
81.697,5,Freshwater,2023-06-04 18:05:00
81.666,5,Freshwater,2023-06-04 18:10:00
81.669,5,Freshwater,2023-06-04 18:15:00
81.627,5,Freshwater,2023-06-04 18:20:00
81.643,5,Freshwater,2023-06-04 18:25:00
81.65,5,Freshwater,2023-06-04 18:30:00
81.572,5,Freshwater,2023-06-04 18:35:00
81.621,5,Freshwater,2023-06-04 18:40:00
81.604,5,Freshwater,2023-06-04 18:45:00
81.631,5,Freshwater,2023-06-04 18:50:00
81.696,5,Freshwater,2023-06-04 18:55:00
81.662,5,Freshwater,2023-06-04 19:00:00
81.608,5,Freshwater,2023-06-04 19:05:00
81.632,5,Freshwater,2023-06-04 19:10:00
81.553,5,Freshwater,2023-06-04 19:15:00
81.593,5,Freshwater,2023-06-04 19:20:00
81.589,5,Freshwater,2023-06-04 19:25:00
81.55,5,Freshwater,2023-06-04 19:30:00
81.561,5,Freshwater,2023-06-04 19:35:00
81.545,5,Freshwater,2023-06-04 19:40:00
81.549,5,Freshwater,2023-06-04 19:45:00
81.519,5,Freshwater,2023-06-04 19:50:00
81.447,5,Freshwater,2023-06-04 19:55:00
81.428,5,Freshwater,2023-06-04 20:00:00
81.477,5,Freshwater,2023-06-04 20:05:00
81.476,5,Freshwater,2023-06-04 20:10:00
81.417,5,Freshwater,2023-06-04 20:15:00
81.483,5,Freshwater,2023-06-04 20:20:00
81.463,5,Freshwater,2023-06-04 20:25:00
81.463,5,Freshwater,2023-06-04 20:30:00
81.454,5,Freshwater,2023-06-04 20:35:00
81.417,5,Freshwater,2023-06-04 20:40:00
81.367,5,Freshwater,2023-06-04 20:45:00
81.356,5,Freshwater,2023-06-04 20:50:00
81.356,5,Freshwater,2023-06-04 20:55:00
81.395,5,Freshwater,2023-06-04 21:00:00
81.354,5,Freshwater,2023-06-04 21:05:00
81.357,5,Freshwater,2023-06-04 21:10:00
81.406,5,Freshwater,2023-06-04 21:15:00
81.441,5,Freshwater,2023-06-04 21:20:00
81.382,5,Freshwater,2023-06-04 21:25:00
81.388,5,Freshwater,2023-06-04 21:30:00
81.344,5,Freshwater,2023-06-04 21:35:00
81.403,5,Freshwater,2023-06-04 21:40:00
81.348,5,Freshwater,2023-06-04 21:45:00
81.316,5,Freshwater,2023-06-04 21:50:00
81.248,5,Freshwater,2023-06-04 21:55:00
81.31,5,Freshwater,2023-06-04 22:00:00
81.325,5,Freshwater,2023-06-04 22:05:00
81.29,5,Freshwater,2023-06-04 22:10:00
81.315,5,Freshwater,2023-06-04 22:15:00
81.28,5,Freshwater,2023-06-04 22:20:00
81.295,5,Freshwater,2023-06-04 22:25:00
81.319,5,Freshwater,2023-06-04 22:30:00
81.3,5,Freshwater,2023-06-04 22:35:00
81.307,5,Freshwater,2023-06-04 22:40:00
81.301,5,Freshwater,2023-06-04 22:45:00
81.245,5,Freshwater,2023-06-04 22:50:00
81.267,5,Freshwater,2023-06-04 22:55:00
81.278,5,Freshwater,2023-06-04 23:00:00
81.339,5,Freshwater,2023-06-04 23:05:00
81.263,5,Freshwater,2023-06-04 23:10:00
81.283,5,Freshwater,2023-06-04 23:15:00
81.364,5,Freshwater,2023-06-04 23:20:00
81.244,5,Freshwater,2023-06-04 23:25:00
81.217,5,Freshwater,2023-06-04 23:30:00
