datetime_est,depth_cm,plot,eh_mv
2023-06-05 16:15:00,5,Freshwater,1035.03092
2023-06-05 16:15:00,5,Seawater,992.29032
2023-06-05 16:15:00,15,Freshwater,768.8266600000001
2023-06-05 16:15:00,15,Seawater,703.30546
2023-06-05 16:15:00,30,Freshwater,765.18
2023-06-05 16:15:00,30,Seawater,734.6025199999999
2023-06-05 16:15:00,50,Freshwater,801.16368
2023-06-05 16:15:00,50,Seawater,756.91194
2023-06-05 16:30:00,5,Freshwater,1035.32236
2023-06-05 16:30:00,5,Seawater,1012.5434200000001
2023-06-05 16:30:00,15,Freshwater,768.0504
2023-06-05 16:30:00,15,Seawater,705.42016
2023-06-05 16:30:00,30,Freshwater,765.146
2023-06-05 16:30:00,30,Seawater,734.6507399999999
2023-06-05 16:30:00,50,Freshwater,801.36752
2023-06-05 16:30:00,50,Seawater,756.55076
2023-06-05 16:45:00,5,Control,703.2563
2023-06-05 16:45:00,5,Freshwater,1034.8323
2023-06-05 16:45:00,5,Seawater,1015.3945200000001
2023-06-05 16:45:00,15,Control,700.2365
2023-06-05 16:45:00,15,Freshwater,766.0456399999999
2023-06-05 16:45:00,15,Seawater,706.3753
2023-06-05 16:45:00,30,Control,737.0063399999999
2023-06-05 16:45:00,30,Freshwater,764.8062199999999
2023-06-05 16:45:00,30,Seawater,735.1426399999999
2023-06-05 16:45:00,50,Control,780.2588
2023-06-05 16:45:00,50,Freshwater,801.23162
2023-06-05 16:45:00,50,Seawater,756.63336
2023-06-05 17:00:00,5,Control,705.33862
2023-06-05 17:00:00,5,Freshwater,1034.33598
2023-06-05 17:00:00,5,Seawater,1014.24454
2023-06-05 17:00:00,15,Control,704.30208
2023-06-05 17:00:00,15,Freshwater,763.85208
2023-06-05 17:00:00,15,Seawater,707.5379
2023-06-05 17:00:00,30,Control,739.6712
2023-06-05 17:00:00,30,Freshwater,763.53008
2023-06-05 17:00:00,30,Seawater,735.72548
2023-06-05 17:00:00,50,Control,783.09448
