datetime,plot,depth_cm,eh_mv,datetime_est
2023-06-05T22:40:00Z,Control,5,609.3551555555556,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Control,15,706.96694,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Control,30,738.4019,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Control,50,788.8802249999999,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Estuarine,5,665.1051133333334,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Estuarine,15,710.50392,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Estuarine,30,737.0293399999999,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Estuarine,50,757.1218799999999,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Freshwater,5,790.8157316666667,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Freshwater,15,644.6066000000001,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Freshwater,30,761.5946,2023-06-05 17:40:00
2023-06-05T22:40:00Z,Freshwater,50,801.4860199999999,2023-06-05 17:40:00
2023-06-05T22:45:00Z,Control,5,609.638175,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Control,15,707.1718999999999,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Control,30,738.12856,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Control,50,788.9229499999999,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Estuarine,5,665.38194,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Estuarine,15,710.71102,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Estuarine,30,737.20246,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Estuarine,50,757.12448,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Freshwater,5,790.38447,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Freshwater,15,643.883225,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Freshwater,30,761.83086,2023-06-05 17:45:00
2023-06-05T22:45:00Z,Freshwater,50,801.31434,2023-06-05 17:45:00
2023-06-05T22:50:00Z,Control,5,609.9718472222222,2023-06-05 17:50:00
2023-06-05T22:50:00Z,Control,15,707.3188066666667,2023-06-05 17:50:00
2023-06-05T22:50:00Z,Control,30,737.99194,2023-06-05 17:50:00
2023-06-05T22:50:00Z,Control,50,788.8802249999999,2023-06-05 17:50:00
2023-06-05T22:50:00Z,Estuarine,5,665.66748,2023-06-05 17:50:00
2023-06-05T22:50:00Z,Estuarine,15,711.0854333333333,2023-06-05 17:50:00
