plot,period2,depth,min,mean,max,variable
Control,1_preflood,5,0.291500767,0.29833039299999997,0.306137527,vwc
Control,1_preflood,15,0.2882792575000001,0.2932656362382812,0.29971261,vwc
Control,1_preflood,30,0.34141961800000004,0.347164827796875,0.35383759,vwc
Control,2_flood,5,0.272399278,0.280541588578125,0.291705061,vwc
Control,2_flood,15,0.27632611900000004,0.28173210149218747,0.2897998255,vwc
Control,2_flood,30,0.32823748300000005,0.334293039734375,0.34189932100000003,vwc
Control,3_postflood,5,0.26432707899999996,0.2673958259375,0.272445826,vwc
Control,3_postflood,15,0.27166550050000005,0.273919744984375,0.277900993,vwc
Control,3_postflood,30,0.322143574,0.32471870471875,0.32870684200000005,vwc
Estuarine,1_preflood,5,0.33211234539999995,0.33711683320937497,0.3438967474,vwc
Estuarine,1_preflood,15,0.2987180344,0.3035593274265625,0.3095893198,vwc
Estuarine,1_preflood,30,0.2753548174,0.280398580084375,0.2874836746,vwc
Estuarine,2_flood,5,0.33554060560000004,0.3946084498375,0.4198359304,vwc
Estuarine,2_flood,15,0.3012114556,0.32023357864375,0.33317829460000004,vwc
Estuarine,2_flood,30,0.276364909,0.32821372210468747,0.3341837314000001,vwc
Estuarine,3_postflood,5,0.34539171400000007,0.359352416828125,0.380682856,vwc
Estuarine,3_postflood,15,0.2969686054,0.30215663455937497,0.3122099722,vwc
Estuarine,3_postflood,30,0.30648767139999994,0.315532671071875,0.32795948799999997,vwc
Freshwater,1_preflood,5,0.33367170339999996,0.3395787193515625,0.34735138479999994,vwc
Freshwater,1_preflood,15,0.3033573184,0.30733239638125,0.313324021,vwc
Freshwater,1_preflood,30,0.309844558,0.3152611552140625,0.32238497709999997,vwc
Freshwater,2_flood,5,0.33989982579999994,0.4059056191328125,0.42375449620000005,vwc
Freshwater,2_flood,15,0.3075745672,0.3653946199703125,0.37145704239999994,vwc
Freshwater,2_flood,30,0.327967246,0.4036146009203125,0.4151307034000001,vwc
Freshwater,3_postflood,5,0.373549375,0.379580569459375,0.3920591872,vwc
Freshwater,3_postflood,15,0.3346468839999999,0.345993108503125,0.3626439544,vwc
Freshwater,3_postflood,30,0.3634701814,0.37921368475,0.3955076182,vwc
Control,1_preflood,5,75.66666666666667,78.72916666666667,81,ec
Control,1_preflood,15,50,53.045572916666664,55.5,ec
Control,1_preflood,30,112.33333333333331,116.99479166666667,121.66666666666669,ec
Control,2_flood,5,71.33333333333333,75.47569444444444,78.66666666666667,ec
Control,2_flood,15,45.5,49.98697916666667,53.5,ec
Control,2_flood,30,102,108.77777777777777,116.33333333333331,ec
Control,3_postflood,5,69,72.07638888888889,74,ec
Control,3_postflood,15,45,47.916666666666664,50.5,ec
Control,3_postflood,30,96.33333333333331,100.80208333333333,105.66666666666669,ec
Estuarine,1_preflood,5,94.4,100.46145833333333,106,ec
Estuarine,1_preflood,15,75.6,79.6625,83.6,ec
Estuarine,1_preflood,30,64.2,68.57239583333333,73.6,ec
Estuarine,2_flood,5,96,2117.2218749999997,2830.2,ec
Estuarine,2_flood,15,229,1314.7807291666666,1742.8,ec
Estuarine,2_flood,30,65.8,1366.7916666666665,1642.8,ec
Estuarine,3_postflood,5,1701.6,1893.2604166666667,2156,ec
Estuarine,3_postflood,15,1050.4,1115.4354166666667,1305.8,ec
Estuarine,3_postflood,30,803.6,1013.9395833333334,1396.8,ec
Freshwater,1_preflood,5,96.2,101.05,104.4,ec
Freshwater,1_preflood,15,74.4,76.78541666666666,79.2,ec
Freshwater,1_preflood,30,66.8,71.2234375,74.8,ec
Freshwater,2_flood,5,100,141.29739583333333,153.6,ec
Freshwater,2_flood,15,77.8,103.2265625,109.4,ec
Freshwater,2_flood,30,88.2,112.68125,118.8,ec
Freshwater,3_postflood,5,120,125.184375,134.2,ec
Freshwater,3_postflood,15,87.4,91.61041666666667,98.8,ec
Freshwater,3_postflood,30,93.6,102.08541666666667,111.2,ec
Control,1_preflood,10,91.94,92.57878735632184,93.127,do_percent_sat
Control,1_preflood,20,91.794,92.24286206896552,92.509,do_percent_sat
Control,1_preflood,30,84.819,87.25489655172414,89.568,do_percent_sat
Control,2_flood,10,92.44,93.79532465277778,94.577,do_percent_sat
Control,2_flood,20,91.37,92.41865798611111,93.214,do_percent_sat
Control,2_flood,30,84.5,86.48427256944444,93.184,do_percent_sat
Control,3_postflood,10,93.812,94.30844791666667,94.684,do_percent_sat
Control,3_postflood,20,92.86,93.32936111111111,93.757,do_percent_sat
Control,3_postflood,30,87.356,88.00189930555555,88.601,do_percent_sat
Estuarine,1_preflood,5,85.294,87.21864367816092,87.993,do_percent_sat
Estuarine,1_preflood,10,82.518,83.41432183908046,83.897,do_percent_sat
Estuarine,1_preflood,20,76.778,78.12276724137931,79.773,do_percent_sat
Estuarine,1_preflood,30,73.504,75.07940804597702,76.977,do_percent_sat
Estuarine,2_flood,5,0.537,51.66877430555555,93.451,do_percent_sat
Estuarine,2_flood,10,0.234,41.06197743055556,90.849,do_percent_sat
Estuarine,2_flood,20,0.238,28.689479166666672,85.448,do_percent_sat
Estuarine,2_flood,30,0.444,16.96022395833333,76.783,do_percent_sat
Estuarine,3_postflood,5,82.451,84.64830208333333,90.361,do_percent_sat
Estuarine,3_postflood,10,77.924,81.07041666666667,89.263,do_percent_sat
Estuarine,3_postflood,20,0.239,64.38548263888887,85.332,do_percent_sat
Estuarine,3_postflood,30,0.462,36.27988541666666,76.405,do_percent_sat
Freshwater,1_preflood,5,79.877,81.82973509933775,82.695,do_percent_sat
Freshwater,1_preflood,10,80.715,81.96690728476821,82.692,do_percent_sat
Freshwater,1_preflood,20,80.849,81.31482781456954,82.143,do_percent_sat
Freshwater,1_preflood,30,77.244,77.71239072847682,79.52,do_percent_sat
Freshwater,2_flood,5,0,45.4745347222222,91.445,do_percent_sat
Freshwater,2_flood,10,0,45.30175694444444,90.543,do_percent_sat
Freshwater,2_flood,20,0,16.672107638888857,85.65,do_percent_sat
Freshwater,2_flood,30,0,11.253170138888892,79.294,do_percent_sat
Freshwater,3_postflood,5,90.259,90.96129616724738,91.471,do_percent_sat
Freshwater,3_postflood,10,89.304,89.60800696864112,89.852,do_percent_sat
Freshwater,3_postflood,20,54.519,88.82287456445994,89.478,do_percent_sat
Freshwater,3_postflood,30,0,0,0,do_percent_sat
Control,1_preflood,5,603.912475,615.8011261437908,620.2519416666667,eh_mv
Control,1_preflood,15,706.96694,715.7482054411764,722.12696,eh_mv
Control,1_preflood,30,696.1684466666667,711.6468416666667,738.4019,eh_mv
Control,1_preflood,50,788.5417666666666,789.4881232843137,790.0415833333333,eh_mv
Control,2_flood,5,559.8192194444445,581.4797947164352,638.5635527777778,eh_mv
Control,2_flood,15,719.1551933333333,732.3179182638888,746.55336,eh_mv
Control,2_flood,30,694.255411111111,707.9446970949074,736.1428733333333,eh_mv
Control,2_flood,50,782.8356277777777,784.6971436053241,788.6002916666666,eh_mv
Control,3_postflood,5,570.2126866666667,579.9663923842593,587.91416,eh_mv
Control,3_postflood,15,746.65478,754.6612810416666,761.98018,eh_mv
Control,3_postflood,30,736.2498933333334,749.6493711111111,759.9189933333332,eh_mv
Control,3_postflood,50,785.9351583333333,788.1493860243055,790.1958833333332,eh_mv
Estuarine,1_preflood,5,665.1051133333334,674.9981366176471,687.2961733333334,eh_mv
Estuarine,1_preflood,15,710.50392,722.518858382353,729.86846,eh_mv
Estuarine,1_preflood,30,737.0293399999999,745.3722879411764,751.6768733333333,eh_mv
Estuarine,1_preflood,50,757.1218799999999,760.1239427941176,765.5564666666667,eh_mv
Estuarine,2_flood,5,319.31280266666664,502.310377479084,686.2910866666666,eh_mv
Estuarine,2_flood,15,507.304066,593.0849219948522,728.4059266666667,eh_mv
Estuarine,2_flood,30,646.08214,701.459403547826,761.8781799999999,eh_mv
Estuarine,2_flood,50,695.66412,746.1033245913043,800.4150333333333,eh_mv
Estuarine,3_postflood,5,482.212196,488.4912273379861,499.50277,eh_mv
Estuarine,3_postflood,15,385.58647133333335,450.22572417180555,511.4494476,eh_mv
Estuarine,3_postflood,30,621.2620000000001,630.6903844444445,645.70676,eh_mv
Estuarine,3_postflood,50,662.79552,678.4627598611111,695.66412,eh_mv
Freshwater,1_preflood,5,666.699275,727.3294860784314,790.8157316666667,eh_mv
Freshwater,1_preflood,15,616.636865,626.1252726838235,644.6066000000001,eh_mv
Freshwater,1_preflood,30,666.7184199999999,726.8034669117646,761.83086,eh_mv
Freshwater,1_preflood,50,798.6014799999999,800.4876147058824,801.57352,eh_mv
Freshwater,2_flood,5,112.76363266666668,382.9688710925449,692.8528683333333,eh_mv
Freshwater,2_flood,15,42.992256,299.3188046889507,616.424415,eh_mv
Freshwater,2_flood,30,317.18484666666666,446.1614797452058,665.6646999999999,eh_mv
Freshwater,2_flood,50,772.62182,787.3792731710145,799.0413,eh_mv
Freshwater,3_postflood,5,525.34482,558.3680336592361,570.5773153333333,eh_mv
Freshwater,3_postflood,15,42.48393866666665,288.8757287540972,309.7376,eh_mv
Freshwater,3_postflood,30,230.260574,298.11233839722223,322.00041999999996,eh_mv
Freshwater,3_postflood,50,736.51486,755.8433182638888,772.86948,eh_mv
