plot,species,sensor_id,F_avg,Ymd,Ypd,Ypd_Ymd,k
Control,Beech,C13,1.1741044918380337,-1.475,-0.2,1.2750000000000001,0.9208662681082616
Control,Beech,C14,0.46696131093990956,-1.3,-0.37,0.93,0.5021089364945264
Control,Beech,C15,0.4131912054913219,-1.28,-0.27,1.01,0.40910020345675435
Control,Beech,C16,0.18863317661189702,-1.83,-0.38,1.4500000000000002,0.1300918459392393
Control,Beech,C17,0.5722788382301621,-1.33,-0.2,1.1300000000000001,0.5064414497612054
Control,Beech,C18,0.9593746453224001,-1.61,-0.32,1.29,0.743701275443721
Freshwater,Beech,F13,1.1153414995957636,-0.842,-0.558,0.2839999999999999,3.927258801393535
Freshwater,Beech,F14,0.9911059202002627,-1.0485,-0.37,0.6785,1.4607309067063563
Freshwater,Beech,F15,0.928855934024036,-1.3119999999999998,-0.173,1.1389999999999998,0.8155012590202249
Freshwater,Beech,F16,0.4950658415287395,-1.3315000000000001,-0.383,0.9485000000000001,0.5219460638152235
Freshwater,Beech,F17,0.705386586106666,-1.417,-0.166,1.2510000000000001,0.5638581823394612
Freshwater,Beech,F18,1.0304143316002266,-1.452,-0.509,0.943,1.0926981247086178
Saltwater,Beech,S13,0.6329277145953287,-1.109,-0.502,0.607,1.042714521573853
Saltwater,Beech,S14,0.8033073677287019,-1.0313333333333334,-0.423,0.6083333333333334,1.320505262019784
Saltwater,Beech,S15,0.4299887567628976,-0.5575,-0.312,0.2455,1.7514816976085443
Saltwater,Beech,S16,0.6222386929248962,-0.9205000000000001,-0.145,0.7755000000000001,0.8023709773370679
Saltwater,Beech,S17,0.5376219378150621,-1.0325,-0.39,0.6425,0.8367656619689683
Saltwater,Beech,S18,0.19242514661992,-1.0525,-0.432,0.6205,0.31011304854136984
