datetime,plot,depth,vwc,tsoil,ec,filled
2023-06-02T05:00:00Z,Control,5,0.28083157750000004,17,40.5,FALSE
2023-06-02T05:00:00Z,Control,15,0.310162636,16.4,57.5,FALSE
2023-06-02T05:00:00Z,Control,30,0.3486171025,15.7,117,FALSE
2023-06-02T05:00:00Z,Freshwater,5,0.3624926734,17.04,109.6,FALSE
2023-06-02T05:00:00Z,Freshwater,15,0.32114330919999995,16.48,80.8,FALSE
2023-06-02T05:00:00Z,Freshwater,30,0.3392396199999999,15.5,82.2,FALSE
2023-06-02T05:00:00Z,Seawater,5,0.35680916259999995,16.98,111.8,FALSE
2023-06-02T05:00:00Z,Seawater,15,0.31965454899999995,16.44,87.6,FALSE
2023-06-02T05:00:00Z,Seawater,30,0.29854425520000005,15.66,77.4,FALSE
2023-06-02T05:15:00Z,Control,5,0.28072684449999996,16.95,41.5,FALSE
2023-06-02T05:15:00Z,Control,15,0.31044968199999995,16.4,58,FALSE
2023-06-02T05:15:00Z,Control,30,0.3482330814999999,15.7,116.5,FALSE
2023-06-02T05:15:00Z,Freshwater,5,0.3622087306,17.02,108,FALSE
2023-06-02T05:15:00Z,Freshwater,15,0.3211215867999999,16.46,80.4,FALSE
2023-06-02T05:15:00Z,Freshwater,30,0.3394514134,15.5,81.2,FALSE
2023-06-02T05:15:00Z,Seawater,5,0.35665089940000005,16.96,113.8,FALSE
2023-06-02T05:15:00Z,Seawater,15,0.3195808480000001,16.44,86,FALSE
2023-06-02T05:15:00Z,Seawater,30,0.2985690808,15.66,77.4,FALSE
2023-06-02T05:30:00Z,Control,5,0.2807074495,16.95,41,FALSE
2023-06-02T05:30:00Z,Control,15,0.3104089524999999,16.4,58.5,FALSE
2023-06-02T05:30:00Z,Control,30,0.34816325949999993,15.75,115.5,FALSE
2023-06-02T05:30:00Z,Freshwater,5,0.3618898768,17,109.8,FALSE
2023-06-02T05:30:00Z,Freshwater,15,0.3211332238,16.46,80.4,FALSE
2023-06-02T05:30:00Z,Freshwater,30,0.3392993566,15.5,81.4,FALSE
2023-06-02T05:30:00Z,Seawater,5,0.35652599560000003,16.94,110.6,FALSE
2023-06-02T05:30:00Z,Seawater,15,0.319538179,16.44,87,FALSE
2023-06-02T05:30:00Z,Seawater,30,0.2984821912,15.66,77.6,FALSE
2023-06-02T05:45:00Z,Control,5,0.281011951,16.9,41.5,FALSE
2023-06-02T05:45:00Z,Control,15,0.31041671049999997,16.4,59,FALSE
2023-06-02T05:45:00Z,Control,30,0.34782190749999997,15.75,117.5,FALSE
2023-06-02T05:45:00Z,Freshwater,5,0.3620046952,16.98,110.4,FALSE
2023-06-02T05:45:00Z,Freshwater,15,0.3208857436,16.46,81,FALSE
2023-06-02T05:45:00Z,Freshwater,30,0.3392504812,15.5,81.2,FALSE
2023-06-02T05:45:00Z,Seawater,5,0.35694492759999996,16.9,111,FALSE
2023-06-02T05:45:00Z,Seawater,15,0.31978721079999994,16.44,85.6,FALSE
2023-06-02T05:45:00Z,Seawater,30,0.2987335504,15.66,77.8,FALSE
2023-06-02T06:00:00Z,Control,5,0.28124081199999995,16.9,40.5,FALSE
2023-06-02T06:00:00Z,Control,15,0.31043610549999995,16.4,58,FALSE
2023-06-02T06:00:00Z,Control,30,0.34800228099999997,15.75,117.5,FALSE
2023-06-02T06:00:00Z,Freshwater,5,0.3625539615999999,16.96,109.4,FALSE
2023-06-02T06:00:00Z,Freshwater,15,0.32095634139999996,16.46,81.2,FALSE
2023-06-02T06:00:00Z,Freshwater,30,0.33897739959999995,15.5,80.8,FALSE
2023-06-02T06:00:00Z,Seawater,5,0.3565996966,16.88,110.2,FALSE
2023-06-02T06:00:00Z,Seawater,15,0.3195808479999999,16.44,87.8,FALSE
2023-06-02T06:00:00Z,Seawater,30,0.29840461120000006,15.66,77.6,FALSE
2023-06-02T06:15:00Z,Control,5,0.28104492250000007,16.9,40.5,FALSE
2023-06-02T06:15:00Z,Control,15,0.310488472,16.4,57,FALSE
2023-06-02T06:15:00Z,Control,30,0.34817295699999995,15.75,115.5,FALSE
2023-06-02T06:15:00Z,Freshwater,5,0.36248103639999996,16.92,109,FALSE
2023-06-02T06:15:00Z,Freshwater,15,0.3223132156,16.46,80.8,FALSE
2023-06-02T06:15:00Z,Freshwater,30,0.3387407806,15.5,82.2,FALSE
2023-06-02T06:15:00Z,Seawater,5,0.3567866644,16.86,111.8,FALSE
2023-06-02T06:15:00Z,Seawater,15,0.3196351539999999,16.44,86.8,FALSE
2023-06-02T06:15:00Z,Seawater,30,0.29870600950000004,15.68,78.4,TRUE
2023-06-02T06:30:00Z,Control,5,0.28109922849999996,16.8,41,FALSE
2023-06-02T06:30:00Z,Control,15,0.3102072444999999,16.4,57.5,FALSE
2023-06-02T06:30:00Z,Control,30,0.3480856794999999,15.75,116.5,FALSE
2023-06-02T06:30:00Z,Freshwater,5,0.36213425379999997,16.92,108.8,FALSE
2023-06-02T06:30:00Z,Freshwater,15,0.3224342404,16.46,80.8,FALSE
2023-06-02T06:30:00Z,Freshwater,30,0.3387283678,15.5,81,FALSE
2023-06-02T06:30:00Z,Seawater,5,0.3567835612,16.82,109.4,FALSE
2023-06-02T06:30:00Z,Seawater,15,0.3197065276,16.44,87.2,FALSE
2023-06-02T06:30:00Z,Seawater,30,0.2985302908,15.68,78,FALSE
2023-06-02T06:45:00Z,Control,5,0.28129511799999996,16.8,39.5,FALSE
2023-06-02T06:45:00Z,Control,15,0.3105641125,16.35,56.5,FALSE
2023-06-02T06:45:00Z,Control,30,0.34792470100000006,15.75,117,FALSE
2023-06-02T06:45:00Z,Freshwater,5,0.3622374352,16.900000000000002,108.4,FALSE
2023-06-02T06:45:00Z,Freshwater,15,0.3210851242,16.46,79.6,FALSE
2023-06-02T06:45:00Z,Freshwater,30,0.33874853860000004,15.5,81.6,FALSE
2023-06-02T06:45:00Z,Seawater,5,0.3568743298,16.8,111.4,FALSE
2023-06-02T06:45:00Z,Seawater,15,0.31964058460000006,16.44,87.4,FALSE
2023-06-02T06:45:00Z,Seawater,30,0.2984798638,15.68,78.8,FALSE
2023-06-02T07:00:00Z,Control,5,0.2811225024999999,16.75,41,FALSE
2023-06-02T07:00:00Z,Control,15,0.31071733300000004,16.35,57.5,FALSE
2023-06-02T07:00:00Z,Control,30,0.34764541300000007,15.75,116.5,FALSE
2023-06-02T07:00:00Z,Freshwater,5,0.36223976259999996,16.88,108.4,FALSE
2023-06-02T07:00:00Z,Freshwater,15,0.32108202099999994,16.46,80.6,FALSE
2023-06-02T07:00:00Z,Freshwater,30,0.3388478409999999,15.52,81.2,FALSE
