datetime,depth_cm,ref,plot,batt_v,redox_mv,datetime_raw,tsoil,eh_mv
2023-06-05 16:10:00,5,ra,Freshwater,12.28,822.5264599999999,2023-06-05 16:10:00,NA,NA
2023-06-05 16:10:00,5,ra,Seawater,12.54,779.53626,2023-06-05 16:10:00,NA,NA
2023-06-05 16:10:00,15,ra,Freshwater,12.28,556.36996,2023-06-05 16:10:00,NA,NA
2023-06-05 16:10:00,15,ra,Seawater,12.54,491.28661999999997,2023-06-05 16:10:00,NA,NA
2023-06-05 16:10:00,30,ra,Freshwater,12.28,552.49638,2023-06-05 16:10:00,NA,NA
2023-06-05 16:10:00,30,ra,Seawater,12.54,522.53354,2023-06-05 16:10:00,NA,NA
2023-06-05 16:10:00,50,ra,Freshwater,12.28,588.20818,2023-06-05 16:10:00,NA,NA
2023-06-05 16:10:00,50,ra,Seawater,12.54,545.04776,2023-06-05 16:10:00,NA,NA
2023-06-05 16:15:00,5,ra,Freshwater,12.28,822.69768,2023-06-05 16:15:00,16.82,1035.03092
2023-06-05 16:15:00,5,ra,Seawater,12.52,779.94272,2023-06-05 16:15:00,16.8,992.29032
2023-06-05 16:15:00,15,ra,Freshwater,12.28,556.23494,2023-06-05 16:15:00,16.46,768.8266600000001
2023-06-05 16:15:00,15,ra,Seawater,12.52,490.67066,2023-06-05 16:15:00,16.4,703.30546
2023-06-05 16:15:00,30,ra,Freshwater,12.28,552.15748,2023-06-05 16:15:00,15.86,765.18
2023-06-05 16:15:00,30,ra,Seawater,12.52,521.78104,2023-06-05 16:15:00,16.14,734.6025199999999
2023-06-05 16:15:00,50,ra,Freshwater,12.28,588.14116,2023-06-05 16:15:00,15.86,801.16368
2023-06-05 16:15:00,50,ra,Seawater,12.52,544.09046,2023-06-05 16:15:00,16.14,756.91194
2023-06-05 16:20:00,5,ra,Freshwater,12.27,822.9356,2023-06-05 16:20:00,NA,NA
2023-06-05 16:20:00,5,ra,Seawater,12.51,799.35208,2023-06-05 16:20:00,NA,NA
2023-06-05 16:20:00,15,ra,Freshwater,12.27,556.03108,2023-06-05 16:20:00,NA,NA
2023-06-05 16:20:00,15,ra,Seawater,12.51,492.13722,2023-06-05 16:20:00,NA,NA
2023-06-05 16:20:00,30,ra,Freshwater,12.27,552.39532,2023-06-05 16:20:00,NA,NA
2023-06-05 16:20:00,30,ra,Seawater,12.51,521.95134,2023-06-05 16:20:00,NA,NA
2023-06-05 16:20:00,50,ra,Freshwater,12.27,587.52952,2023-06-05 16:20:00,NA,NA
2023-06-05 16:20:00,50,ra,Seawater,12.51,543.81726,2023-06-05 16:20:00,NA,NA
2023-06-05 16:25:00,5,ra,Freshwater,12.27,822.32386,2023-06-05 16:25:00,NA,NA
2023-06-05 16:25:00,5,ra,Seawater,12.49,799.8637,2023-06-05 16:25:00,NA,NA
2023-06-05 16:25:00,15,ra,Freshwater,12.27,555.69128,2023-06-05 16:25:00,NA,NA
2023-06-05 16:25:00,15,ra,Seawater,12.49,492.41012,2023-06-05 16:25:00,NA,NA
2023-06-05 16:25:00,30,ra,Freshwater,12.27,552.2594,2023-06-05 16:25:00,NA,NA
2023-06-05 16:25:00,30,ra,Seawater,12.49,522.01956,2023-06-05 16:25:00,NA,NA
2023-06-05 16:25:00,50,ra,Freshwater,12.27,588.27706,2023-06-05 16:25:00,NA,NA
2023-06-05 16:25:00,50,ra,Seawater,12.49,543.74904,2023-06-05 16:25:00,NA,NA
2023-06-05 16:30:00,5,ra,Freshwater,12.26,823.00348,2023-06-05 16:30:00,16.84,1035.32236
2023-06-05 16:30:00,5,ra,Seawater,12.48,800.2389000000001,2023-06-05 16:30:00,16.86,1012.5434200000001
2023-06-05 16:30:00,15,ra,Freshwater,12.26,555.4874,2023-06-05 16:30:00,16.5,768.0504
2023-06-05 16:30:00,15,ra,Seawater,12.48,492.78536,2023-06-05 16:30:00,16.4,705.42016
2023-06-05 16:30:00,30,ra,Freshwater,12.26,552.12348,2023-06-05 16:30:00,15.86,765.146
2023-06-05 16:30:00,30,ra,Seawater,12.48,521.8149,2023-06-05 16:30:00,16.12,734.6507399999999
2023-06-05 16:30:00,50,ra,Freshwater,12.26,588.345,2023-06-05 16:30:00,15.86,801.36752
