#Log_File	LOG181
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.38
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XA7-530-200	Water	%air sat.	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XA7-530-200	4 Jun 2023	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	21.275°	20.00°C	23.17°C	1014 mbar	50%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%air sat.)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2023-06-04 15:49:51	92.349		18.25	18.25	1013.5	53.9	0		0	22.844	310.8	38.2	23.04
2	2023-06-04 15:54:51	91.740		17.09	17.09	1013.6	52.5	300		0	23.044	315.1	38.1	23.07
3	2023-06-04 15:59:51	91.321		16.73	16.73	1013.4	52.3	600		0	23.138	317.0	38.3	22.92
4	2023-06-04 16:04:51	91.153		16.59	16.59	1013.3	52.1	900		0	23.176	317.5	38.0	22.82
5	2023-06-04 16:09:51	91.080		16.53	16.53	1013.4	52.1	1200		0	23.192	318.2	38.2	22.73
6	2023-06-04 16:14:51	90.967		16.49	16.49	1013.4	52.0	1500		0	23.211	318.5	38.4	22.76
7	2023-06-04 16:19:51	90.973		16.47	16.47	1013.3	51.9	1800		0	23.213	318.7	38.4	22.73
8	2023-06-04 16:24:51	90.864		16.45	16.45	1013.3	51.9	2100		0	23.229	318.6	38.6	22.66
9	2023-06-04 16:29:51	90.871		16.44	16.44	1013.3	51.8	2400		0	23.230	318.7	38.0	22.56
10	2023-06-04 16:34:51	91.009		16.42	16.42	1013.3	51.7	2700		0	23.213	319.0	38.3	22.35
11	2023-06-04 16:39:51	90.999		16.42	16.42	1013.2	51.8	3000		0	23.215	319.3	38.1	22.21
12	2023-06-04 16:44:51	91.004		16.41	16.41	1013.1	51.8	3300		0	23.217	319.8	38.2	22.13
13	2023-06-04 16:49:51	91.013		16.40	16.40	1013.1	51.8	3600		0	23.217	320.0	38.2	22.02
14	2023-06-04 16:54:51	91.105		16.40	16.40	1013.2	51.8	3900		0	23.205	320.2	38.4	21.94
15	2023-06-04 16:59:51	91.103		16.40	16.40	1013.1	52.0	4200		0	23.206	320.6	38.4	21.97
16	2023-06-04 17:04:51	91.162		16.39	16.39	1013.1	51.9	4500		0	23.200	320.3	38.1	21.91
17	2023-06-04 17:09:51	91.174		16.39	16.39	1013.0	51.8	4800		0	23.199	320.0	38.3	21.83
