#Log_File	LOG182
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.38
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XA7-530-200	Water	%air sat.	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XA7-530-200	4 Jun 2023	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	21.275°	20.00°C	23.17°C	1014 mbar	50%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%air sat.)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2023-06-09 15:14:44	93.370		16.00	16.00	1007.4	46.8	0		0	23.028	313.3	38.5	23.83
2	2023-06-09 15:19:44	93.343		16.00	16.00	1007.4	48.2	300		0	23.031	338.2	38.4	23.85
3	2023-06-09 15:24:44	93.429		16.00	16.00	1007.3	48.5	600		0	23.022	304.4	38.3	23.88
4	2023-06-09 15:29:44	93.309		16.01	16.01	1007.3	49.0	900		0	23.036	303.0	38.2	23.89
5	2023-06-09 15:34:44	93.396		16.01	16.01	1007.4	49.2	1200		0	23.024	302.8	38.2	23.79
6	2023-06-09 15:39:44	93.414		16.01	16.01	1007.4	49.2	1500		0	23.021	303.0	38.2	23.64
7	2023-06-09 15:44:44	93.340		16.02	16.02	1007.5	49.3	1800		0	23.029	303.0	38.3	23.39
8	2023-06-09 15:49:44	93.356		16.01	16.01	1007.5	49.4	2100		0	23.028	303.2	38.3	23.14
9	2023-06-09 15:54:44	93.398		16.01	16.01	1007.4	49.5	2400		0	23.023	303.6	38.3	22.99
10	2023-06-09 15:59:44	93.331		16.02	16.02	1007.5	49.4	2700		0	23.030	303.2	38.5	22.99
11	2023-06-09 16:04:44	93.416		16.02	16.02	1007.5	49.6	3000		0	23.019	303.5	38.3	22.91
12	2023-06-09 16:09:44	93.437		16.02	16.02	1007.6	49.7	3300		0	23.015	303.6	38.2	22.90
13	2023-06-09 16:14:44	93.405		16.02	16.02	1007.8	49.7	3600		0	23.017	303.2	38.3	22.80
14	2023-06-09 16:19:44	93.394		16.03	16.03	1007.8	49.6	3900		0	23.018	303.4	38.6	22.63
15	2023-06-09 16:24:44	93.442		16.02	16.02	1007.8	49.6	4200		0	23.012	303.6	38.2	22.48
16	2023-06-09 16:29:44	93.528		16.03	16.03	1007.8	49.4	4500		0	23.001	303.8	38.4	22.29
17	2023-06-09 16:34:44	93.456		16.03	16.03	1007.9	49.4	4800		0	23.009	304.0	38.4	22.12
18	2023-06-09 16:39:44	93.546		16.03	16.03	1007.8	49.4	5100		0	22.999	304.5	38.2	21.96
19	2023-06-09 16:44:44	93.500		16.03	16.03	1007.7	49.5	5400		0	23.005	305.1	38.1	21.95
20	2023-06-09 16:49:44	93.545		16.04	16.04	1007.7	49.6	5700		0	22.999	305.1	38.3	21.96
21	2023-06-09 16:54:44	93.472		16.03	16.03	1007.7	49.5	6000		0	23.009	304.9	38.4	21.91
22	2023-06-09 16:59:44	93.455		16.04	16.04	1007.7	49.6	6300		0	23.011	304.9	38.7	21.86
23	2023-06-09 17:04:44	93.600		16.04	16.04	1007.7	49.7	6600		0	22.991	304.7	38.3	21.83
24	2023-06-09 17:09:44	93.547		16.03	16.03	1007.8	49.8	6900		0	22.998	304.9	38.5	21.79
25	2023-06-09 17:14:44	93.494		16.04	16.04	1007.8	49.8	7200		0	23.004	304.8	38.1	21.76
26	2023-06-09 17:19:44	93.510		16.04	16.04	1007.9	49.8	7500		0	23.002	304.6	38.4	21.69
27	2023-06-09 17:24:44	93.563		16.04	16.04	1007.8	49.9	7800		0	22.995	304.7	38.4	21.62
28	2023-06-09 17:29:44	93.529		16.05	16.05	1007.9	50.0	8100		0	22.998	304.6	38.5	21.57
29	2023-06-09 17:34:44	93.477		16.04	16.04	1007.9	50.0	8400		0	23.005	304.5	38.2	21.54
30	2023-06-09 17:39:44	93.502		16.05	16.05	1008.0	50.1	8700		0	23.000	304.2	38.5	21.50
31	2023-06-09 17:44:44	93.466		16.05	16.05	1008.1	50.2	9000		0	23.003	304.1	38.3	21.47
32	2023-06-09 17:49:44	93.461		16.05	16.05	1008.1	50.3	9300		0	23.004	304.2	38.6	21.38
33	2023-06-09 17:54:44	93.585		16.05	16.05	1008.1	50.5	9600		0	22.988	304.1	38.4	21.28
