PointName_,LatDD,LongDD,Elevation,Code,
RTCM0000,38.84801223N,77.04940223W,-16.32,,
SW_C9,38.87368831N,76.55207856W,-24.182,SW_GRID,
SW_D9,38.87364450N,76.55208991W,-23.684,SW_GRID,
SW_E9,38.87359774N,76.55209335W,-26.299,SW_GRID,
SW_F9,38.87355347N,76.55210552W,-26.223,SW_GRID,
SW_G9,38.87350803N,76.55211743W,-23.637,SW_GRID,
SW_H9,38.87346832N,76.55213288W,-25.457,SW_GRID,
SW_I9,38.87343017N,76.55214144W,-24.684,SW_GRID,
SW_J9,38.87337565N,76.55215342W,-25.565,SW_GRID,
Reference pt,38.87427648N,76.55045472W,-31.388,CO2 LAB,
SW_K1,38.87340292N,76.55261782W,-26.723,SW_GRID,
SW_K2,38.87339223N,76.55256276W,-26.298,SW_GRID,
SW_K4,38.87337442N,76.55244737W,-26.284,SW_GRID,
SW_K5,38.87336666N,76.55238964W,-26.113,SW_GRID,
SW_K8,38.87334126N,76.55222197W,-25.329,SW_GRID,
SW_K8-2,38.87334198N,76.55222191W,-25.619,SW_GRID,
SW_K9,38.87332622N,76.55216731W,-22.074,SW_GRID,
SW_K3,38.87338367N,76.55250161W,-26.346,SW_GRID,
SW_J1,38.87344800N,76.55260783W,-27.146,SW_GRID,
SW_J2,38.87343817N,76.55254891W,-26.88,SW_GRID,
SW_J3,38.87342715N,76.55249232W,-26.841,SW_GRID,
SW_J4,38.87341645N,76.55242485W,-24.153,SW_GRID,
SW_J5,38.87341029N,76.55238205W,-26.029,SW_GRID,
SW_J6-2,38.87340791N,76.55232819W,-24.91,SW_GRID,
SW_K6,38.87335504N,76.55233584W,-23.941,SW_GRID,
SW_J8,38.87338680N,76.55221010W,-25.685,SW_GRID,
SW_J7-2,38.87339166N,76.55226764W,-23.783,SW_GRID,
Reference pt 2,38.87427340N,76.55046966W,-31.448,CO2 LAB,
SW_A2,38.87383209N,76.55244167W,-27.179,SW_GRID,
SW_A3,38.87382280N,76.55238525W,-27.056,SW_GRID,
SW_A4,38.87381492N,76.55232872W,-26.976,SW_GRID,
REF 5,38.87427701N,76.55046064W,-31.372,CO2 LAB,
SW_A6,38.87379884N,76.55221505W,-26.759,SW_GRID,
SW_A5,38.87380637N,76.55227056W,-26.708,SW_GRID,
SW_A8,38.87378181N,76.55210224W,-26.506,SW_GRID,
SW_A7,38.87378907N,76.55215726W,-26.805,SW_GRID,
SW_A1,38.87384473N,76.55250020W,-27.494,SW_GRID,
SW_B1,38.87379961N,76.55250778W,-27.5,SW_GRID,
SW_B2,38.87379061N,76.55245223W,-27.318,SW_GRID,
SW_B3,38.87377925N,76.55239744W,-27.171,SW_GRID,
SW_B5,38.87376462N,76.55228226W,-26.944,SW_GRID,
SW_B6,38.87375594N,76.55224094W,-24.366,SW_GRID,
reference,38.87429105N,76.55046156W,-32.009,,
