"TOA5","TEMPEST_REDOX_fresh","CR1000","86614","CR1000.Std.31.03","CPU:COMPASS_Redox_Tempest_2024v1.CR1","14439","Redox5"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-07 05:55:00",8,"NAN",11.93,1765.947,551.6567,546.5583,-368.451,1560.648,494.2137,554.0361,538.9105,625.4149,148.536,583.7773,548.5977,573.9202,1111.981,588.3659,593.4644,1386.45,570.0114,559.8143,618.6169,1787.871,563.3833,556.0754,-361.9929,1565.407,497.2729,563.2133,548.5977,635.272,162.4719,593.4644,560.1542,585.4767,1120.648,598.3929,599.0728,1391.718,580.5482,570.0114,632.213
"2024-05-07 06:00:00",9,"NAN",11.93,1769.71,551.6642,546.7356,-368.4559,1561.349,489.8017,554.3834,536.5385,625.9332,148.878,584.295,548.4351,574.0979,1112.506,588.2039,591.6029,1390.547,568.6594,562.5411,619.1351,1789.255,561.3515,562.2012,-361.6579,1561.689,497.6195,563.2209,545.7159,634.9407,157.5455,596.3616,558.2924,587.1842,1121.343,599.9306,598.9109,1394.116,578.1767,569.5092,629.1624
"2024-05-07 06:05:00",10,"NAN",11.93,1765.635,552.0053,546.057,-371.176,1564.072,489.8028,556.934,536.0298,630.5233,148.7083,585.9958,548.6063,574.439,1115.057,588.0352,589.7347,1389.191,568.6606,564.072,619.6464,1789.429,561.5226,558.2936,-361.4887,1567.131,501.3595,563.3922,546.7368,634.9421,157.7158,595.6831,558.2936,585.486,1121.176,598.7422,602.1413,1392.25,579.5376,570.1902,629.5036
"2024-05-07 06:10:00",11,"NAN",11.93,1768.665,556.0749,546.3878,-367.7708,1564.725,490.6443,554.5453,536.1908,625.2443,149.5556,583.7766,552.166,574.4294,1112.49,588.3653,589.8948,1388.828,568.991,560.8334,621.1655,1790.248,561.1733,555.9049,-358.7635,1566.765,502.5408,563.3827,548.767,634.7615,158.5629,593.1238,557.7744,584.1165,1121.497,598.5623,603.4908,1396.305,581.2274,570.6906,629.663
"2024-05-07 06:15:00",12,"NAN",11.93,1768.18,555.233,545.7157,-369.8154,1559.479,490.4813,554.7231,536.1984,625.2532,150.4075,583.7849,551.4941,574.7775,1113.865,592.2825,589.3934,1387.318,568.8292,561.0114,621.6842,1788.744,561.3513,555.7429,-361.9977,1567.467,498.809,565.4301,546.2255,639.8691,157.3755,595.8515,558.632,585.1445,1122.703,598.7407,599.2505,1394.116,578.6864,575.4573,630.0118
"2024-05-07 06:20:00",13,"NAN",11.93,1770.054,552.1752,549.456,-370.4962,1559.993,491.3323,557.4437,536.1997,625.4247,148.3684,583.6164,548.6062,576.8183,1114.208,591.7741,589.9047,1388.001,569.3404,561.5226,620.1562,1790.958,561.5226,555.5743,-361.8286,1571.549,499.1501,566.1113,546.2269,637.1514,160.0951,592.9638,557.7836,584.1263,1120.666,598.2323,599.0821,1393.779,579.0277,572.3995,630.0134
"2024-05-07 06:25:00",14,"NAN",11.93,1769.885,551.6656,546.567,-370.8362,1561.523,493.032,554.8947,539.259,625.085,150.2379,583.4467,548.4365,574.7791,1114.718,588.0354,590.0748,1391.91,571.8899,561.6927,622.7057,1792.998,566.9613,555.7444,-359.1095,1569.511,499.4902,563.5623,545.8872,634.4324,160.2651,593.134,563.0524,585.6561,1121.856,598.4025,599.2523,1395.309,578.5181,571.8899,632.3929
"2024-05-07 06:30:00",15,"NAN",11.93,1771.244,551.8355,546.0571,-371.1761,1563.732,493.7118,555.2346,541.6384,625.4249,150.068,583.1068,548.7764,574.949,1115.568,588.0354,592.2842,1389.871,572.3998,562.0327,622.8756,1792.318,561.3528,555.9144,-361.9987,1564.922,500.17,565.7716,545.8872,634.7723,157.3759,592.964,558.8036,585.1462,1121.856,600.102,599.4222,1395.819,578.5181,571.55,630.1836
"2024-05-07 06:35:00",16,"NAN",11.93,1765.956,553.8689,548.9404,-370.8322,1564.395,491.837,555.0586,536.5339,627.9673,147.857,587.6891,548.9404,576.6423,1116.235,588.5388,590.0684,1392.745,569.5044,564.4059,620.8295,1793.828,561.3467,558.7975,-361.6548,1567.454,500.5045,566.1053,546.0512,634.7654,157.0343,592.4477,558.4576,586.8394,1122.693,601.6251,599.9255,1395.634,579.1915,572.2236,630.3467
"2024-05-07 06:40:00",17,"NAN",11.93,1767.502,552.5143,546.9059,-370.3257,1566.789,494.0508,554.8937,536.7088,627.4633,147.8584,584.8052,548.9454,574.9481,1116.246,588.2043,590.7536,1394.287,569.6795,563.0514,621.0051,1790.276,561.3519,555.4036,-361.8281,1567.808,503.7381,563.5612,551.6646,635.451,159.4151,592.2831,557.6129,584.4653,1122.874,598.2315,601.4606,1400.406,583.4456,572.5687,633.0717
