"TOA5","TEMPEST_REDOX_salt","CR1000","86615","CR1000.Std.31.03","CPU:COMPASS_Redox_Tempest_2024v1.CR1","14439","Redox5"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-07 05:15:00",0,"NAN",11.94,175.678,420.2628,596.7936,294.5591,-117.6872,-148.7294,349.4799,626.6418,57.64968,272.7273,494.798,622.8894,1110.012,539.3145,578.8846,584.5132,48.95106,426.2324,546.8192,607.7095,169.1967,415.487,595.5996,292.5124,-119.2223,-150.2644,345.5569,624.2539,54.75014,272.5568,496.5036,623.7422,1103.019,543.0668,579.7374,586.901,47.24545,422.6506,543.749,605.1511
"2024-05-07 05:20:00",1,"NAN",11.94,175.5074,420.4333,596.623,294.3886,-117.6872,-147.1943,348.9682,626.8123,57.30856,272.5568,494.798,623.4011,1110.524,541.0201,579.0552,588.6066,50.31555,427.4263,547.1603,610.0974,169.5378,414.9753,594.7468,290.6363,-120.4162,-150.6055,345.2158,624.4245,55.77351,271.1923,495.3097,623.4011,1110.524,539.3145,579.5669,591.8473,49.46274,424.1856,543.9196,607.1978
"2024-05-07 05:25:00",2,"NAN",11.94,175.5074,419.2394,597.6464,294.3886,-117.8578,-148.8999,348.1154,627.1534,56.79687,272.8979,494.4568,624.0834,1107.454,538.4617,578.7141,592.5295,51.16835,426.7441,547.6719,611.4619,169.7084,414.8048,595.2585,291.3185,-119.7339,-150.435,345.3864,624.4245,53.89733,270.6806,495.3097,623.7422,1107.283,539.3145,580.0786,595.2585,49.80386,421.9684,544.943,610.609
"2024-05-07 05:30:00",3,"NAN",11.94,174.6546,420.0922,598.1581,295.2414,-118.1989,-148.5588,348.7976,626.1301,55.60294,271.0217,498.7209,623.5717,1111.718,539.8261,579.3963,597.3052,51.50948,427.4263,545.9663,614.0203,169.3672,414.4637,595.4291,291.6596,-119.7339,-149.7527,345.5569,625.1068,54.57958,271.0217,495.4802,623.7422,1104.213,540.8495,579.7374,598.3286,49.80386,424.3562,545.6252,611.6324
"2024-05-07 05:35:00",4,"NAN",11.94,175.3369,418.3866,597.4758,294.5591,-119.0517,-148.3882,349.1387,627.1534,57.138,272.2156,495.3097,624.2539,1115.982,540.5084,580.9314,598.4992,51.50948,426.5735,548.3542,615.2142,169.1967,413.7814,594.7468,291.6596,-120.4162,-149.7527,346.0686,625.6184,54.9207,271.7039,496.6742,624.9362,1110.353,542.5551,582.1253,602.081,50.31555,424.1856,545.2841,612.9969
"2024-05-07 05:40:00",5,"NAN",11.95,174.9958,418.0454,596.9641,293.8769,-119.5634,-148.0471,348.7976,627.324,56.45575,272.5568,495.3097,624.0834,1117.346,538.9733,580.7608,600.7165,51.50948,426.7441,547.5014,616.5787,169.5378,414.1226,594.9174,292.1713,-121.269,-150.0938,345.5569,624.2539,53.04453,270.6806,495.1391,623.7422,1110.524,538.9733,580.0786,603.1043,50.31555,424.5268,546.3074,614.3614
"2024-05-07 05:45:00",6,"NAN",11.94,174.4841,417.3632,597.6464,294.3886,-119.7339,-148.7294,348.4565,627.6652,55.94407,271.7039,494.9685,624.2539,1107.965,538.9733,579.908,602.7632,51.33892,426.403,548.1837,617.7726,168.5145,412.9286,595.088,291.489,-121.6101,-150.2644,345.5569,625.2773,54.23846,271.8745,495.8214,624.9362,1104.384,539.3145,578.7141,603.616,50.14499,422.8212,545.6252,615.5553
"2024-05-07 05:50:00",7,"NAN",11.94,174.4841,417.0221,596.7936,293.8769,-119.9045,-149.0705,348.627,628.1768,56.28519,271.7039,495.4802,624.595,1108.136,539.8261,579.7374,604.8099,51.16835,427.0852,548.6953,618.9665,165.7855,412.5875,595.088,291.6596,-122.2924,-149.9233,345.0453,624.9362,52.87397,270.1689,494.798,624.2539,1100.461,539.1439,579.2258,606.0038,49.80386,423.5034,545.7958,616.5787
