 Plot,Sapflux_ID,Tree_ID,spp,Grid_Square,Logger,Port,PakBus,Installation_Date,Last_Checked,Status,Pending_Action,Notes
Control,C7,1439,ACRU,B3,11,1,41,19-Mar-21,8-Jul-24,Active,,CR1000X installed 9/21/21
Control,C19,1451,ACRU,A1,11,2,41,3-Jun-22,8-Jul-24,Active,,Installed around 10am; replaced C8/Port 2; top dead 6/21/24
Control,C10,1387,ACRU,D4,11,3,41,17-Mar-21,8-Jul-24,Active,, a little high 8/25; CR1000X installed 9/21/21
Control,C11,1395,ACRU,F2,11,4,41,17-Mar-21,8-Jul-24,Active,,"still reading a cycle, just high???; CR1000X installed 9/21/21"
Control,C16,1390,FAGR,E4,11,5,41,28-Apr-22,8-Jul-24,Active,,CR1000X installed 9/21/21; replaced 4/28/22; bad 4-6 cicuit on power regulator
Control,C18,1452,FAGR,NA,11,6,41,17-Mar-21,8-Jul-24,Active,,CR1000X installed 9/21/21; bas sensor; disconnected 1/10/24; replaced 2/29/24 - still bad readings; fixed 4/5/24
Control,C3,1425,LITU,C5,12,1,42,5-Sep-23,8-Jul-24,Active,,bad reading 8/14/23; replaced 9/5/23
Control,C6,1411,LITU,B7,12,2,42,8-Mar-23,8-Jul-24,Active,,bad 11/25/22; draining power
Control ,C9,1456,ACRU,NA,12,3,42,17-Mar-21,8-Jul-24,Active,,Outside plot (W grid A2)
Control,C13,1407,FAGR,B8,12,4,42,17-Mar-21,8-Jul-24,Active,,
Control,C14,1412,FAGR,B7,12,5,42,8-Mar-23,8-Jul-24,Active,,bad sensor 12/28/22; replaced 3/8/23
Control,C15,1432,FAGR,A4,12,6,42,,8-Jul-24,Active,,
Control,CD14,1412,FAGR,B7,12,8,42,7-Apr-21,8-Jul-24,Active,,
Control,C1,1384,LITU,F5,13,1,43,19-Mar-21,8-Jul-24,Active,,
Control,C2,1385,LITU,F5,13,2,43,5-Aug-22,8-Jul-24,Active,,
Control,C4,1325,LITU,H4,13,3,43,19-Mar-21,8-Jul-24,Active,,
Control,C5,1330,LITU,I3,13,4,43,10-Jun-22,8-Jul-24,Active,,Bad; replaced 6/10/22
Control,C12,1328,ACRU,G3,13,5,43,,8-Jul-24,Active,,high; 0.955; 0.881; 0.848; 0.879; 0.914; 0.917; 0.925; 0.876; 0.938; 0.958; 0.963; 0.967; 0.634
Control,C17,1380,FAGR,F6,13,6,43,7-Jun-22,8-Jul-24,Active,,low 4/26 0.2622; replaced 6/7/22; low 2/24 0.0379
Control,CD12,1328,ACRU,G3,13,9,43,7-Apr-21,8-Jul-24,Active,,Brought online 3 Jun 2021
Control,CD16,1390,FAGR,E4,13,10,43,4-Jun-21,8-Jul-24,Active,,
FW,F1,1578,LITU,H5,21,1,44,8-Mar-23,8-Jul-24,Active,,Top probe loose; bad sensor 11/17/22
FW,F4,1561,LITU,E2,21,2,44,16-Mar-21,8-Jul-24,Active,,
FW,F5,1591,LITU,G3,21,3,44,16-Mar-21,8-Jul-24,Active,,
