#--- Experiment --------------------------------------------------------------------------
#230604_fw_tempest_1
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#WARD_FIRESTING2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:2411E508596FD910 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XA6-539-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	6/3/2023	12/31/2000	21.000000	53.900000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.786000	27.552000	59.785000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
04-06-2023	08:27:32.414	0.055	98.922	22.153	206	3	OK	04-06-2023	08:27:32.414	0.055	17.812	OK	04-06-2023	08:27:32.414	0.055	1018	OK
04-06-2023	08:32:32.391	300.032	77.338	25.163	239	0	OK	04-06-2023	08:32:32.391	300.032	17.193	OK	04-06-2023	08:32:32.391	300.032	1018	OK
04-06-2023	08:37:32.391	600.032	7.690	47.937	461	0	OK	04-06-2023	08:37:32.391	600.032	17.080	OK	04-06-2023	08:37:32.391	600.032	1018	OK
04-06-2023	08:42:32.391	900.032	-0.201	54.124	509	0	OK	04-06-2023	08:42:32.391	900.032	17.052	OK	04-06-2023	08:42:32.391	900.032	1018	OK
04-06-2023	08:47:32.390	1200.031	-0.232	54.152	508	0	OK	04-06-2023	08:47:32.390	1200.031	17.033	OK	04-06-2023	08:47:32.390	1200.031	1018	OK
04-06-2023	08:52:32.393	1500.035	-0.231	54.151	508	0	OK	04-06-2023	08:52:32.393	1500.035	17.021	OK	04-06-2023	08:52:32.393	1500.035	1018	OK
04-06-2023	08:57:32.393	1800.034	-0.230	54.150	508	0	OK	04-06-2023	08:57:32.393	1800.034	17.015	OK	04-06-2023	08:57:32.393	1800.034	1018	OK
04-06-2023	09:02:32.393	2100.035	-0.237	54.157	508	0	OK	04-06-2023	09:02:32.393	2100.035	17.002	OK	04-06-2023	09:02:32.393	2100.035	1018	OK
04-06-2023	09:07:32.393	2400.035	-0.229	54.149	507	0	OK	04-06-2023	09:07:32.393	2400.035	17.001	OK	04-06-2023	09:07:32.393	2400.035	1018	OK
04-06-2023	09:12:32.392	2700.033	-0.242	54.161	507	0	OK	04-06-2023	09:12:32.392	2700.033	16.994	OK	04-06-2023	09:12:32.392	2700.033	1018	OK
04-06-2023	09:17:32.395	3000.036	-0.246	54.165	506	0	OK	04-06-2023	09:17:32.395	3000.036	16.989	OK	04-06-2023	09:17:32.395	3000.036	1018	OK
04-06-2023	09:22:32.394	3300.036	-0.235	54.155	505	0	OK	04-06-2023	09:22:32.394	3300.036	16.984	OK	04-06-2023	09:22:32.394	3300.036	1018	OK
04-06-2023	09:27:32.394	3600.035	-0.255	54.173	505	0	OK	04-06-2023	09:27:32.394	3600.035	16.981	OK	04-06-2023	09:27:32.394	3600.035	1018	OK
04-06-2023	09:32:32.395	3900.036	-0.239	54.159	504	0	OK	04-06-2023	09:32:32.395	3900.036	16.972	OK	04-06-2023	09:32:32.395	3900.036	1018	OK
04-06-2023	09:37:32.394	4200.035	-0.245	54.164	504	0	OK	04-06-2023	09:37:32.394	4200.035	16.972	OK	04-06-2023	09:37:32.394	4200.035	1017	OK
04-06-2023	09:42:32.394	4500.036	-0.255	54.173	503	0	OK	04-06-2023	09:42:32.394	4500.036	16.967	OK	04-06-2023	09:42:32.394	4500.036	1017	OK
04-06-2023	09:47:32.400	4800.041	-0.254	54.172	503	0	OK	04-06-2023	09:47:32.400	4800.041	16.962	OK	04-06-2023	09:47:32.400	4800.041	1017	OK
04-06-2023	09:52:32.395	5100.036	-0.249	54.168	503	0	OK	04-06-2023	09:52:32.395	5100.036	16.957	OK	04-06-2023	09:52:32.395	5100.036	1017	OK
