"TOA5","RedoxMU1_81","CR1000","86633","CR1000.Std.31.03","CPU:COMPASS_MU_programsv2.CR1","36780","Table1"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-05 17:15:00",8,"NAN",12.66,438.8452,517.7656,538.6061,577.383,404.5097,490.9464,528.5275,549.5388,424.4961,479.672,542.1934,567.3044,315.6816,471.985,484.1134,584.0451,877.5197,503.5873,539.9727,574.1373,1892.381,2089.341,2100.786,2102.665,2029.552,2027.332,2098.736,2102.665,2021.695,2077.212,2083.532,2101.64,2042.535,2078.92,2082.508,2102.836,2025.965,2085.412,2097.711,2095.149
"2023-06-05 17:20:00",9,"NAN",12.65,438.5036,517.5948,538.2644,577.383,404.8514,491.288,527.3317,549.1971,424.6669,480.1845,542.1934,567.3044,316.3649,472.3266,484.7967,583.8743,868.8076,504.2706,539.8018,574.1373,1893.406,2090.195,2101.298,2103.177,2030.748,2029.04,2100.103,2104.031,2023.744,2079.262,2085.583,2103.348,2044.243,2080.287,2083.874,2103.519,2026.136,2086.778,2099.761,2097.54
"2023-06-05 17:25:00",10,"NAN",12.65,438.6744,517.7656,537.9228,577.5538,404.8514,491.4588,526.4776,549.0263,425.0085,480.697,542.1934,567.3044,316.7065,472.4974,485.48,584.0451,866.9286,504.6122,539.631,574.3082,1897.677,2093.782,2104.373,2106.765,2035.19,2032.627,2104.544,2108.302,2028.015,2083.703,2089.341,2107.448,2049.026,2084.558,2088.487,2108.302,2029.04,2091.39,2103.519,2100.957
"2023-06-05 17:30:00",11,"NAN",12.65,438.8452,517.7656,537.752,577.5538,404.8514,491.4588,525.2819,548.8555,425.3502,481.0386,542.1934,567.6461,317.219,472.8391,485.9925,584.3867,865.3912,505.2955,539.631,574.3082,1902.802,2098.736,2109.498,2111.206,2041.168,2038.435,2109.498,2113.427,2033.481,2088.828,2094.124,2112.402,2054.322,2089.341,2093.099,2111.889,2032.115,2095.319,2107.448,2104.715
"2023-06-05 17:35:00",12,"NAN",12.65,439.6993,517.9365,537.0687,577.7246,404.8514,491.6296,524.2569,548.5139,425.521,481.3802,542.1934,567.6461,317.3898,473.1807,486.5049,584.3867,863.3413,505.6372,539.2894,574.1373,1905.705,2101.469,2112.231,2114.281,2043.047,2040.485,2111.377,2115.477,2035.702,2090.878,2096.515,2114.793,2057.397,2092.586,2096.686,2115.647,2034.848,2100.103,2111.889,2108.985
"2023-06-05 17:40:00",13,"NAN",12.64,440.041,517.9365,536.5562,577.7246,405.193,491.9713,523.232,548.0013,425.8626,481.7219,542.1934,567.6461,317.7314,473.3515,487.0174,584.5576,862.1455,506.3205,539.1185,574.479,1909.293,2104.885,2115.647,2117.356,2046.976,2044.414,2115.135,2119.064,2039.802,2095.149,2100.273,2118.21,2061.155,2095.49,2099.419,2118.21,2036.385,2101.981,2113.597,2111.035
"2023-06-05 17:45:00",14,"NAN",12.64,440.8951,517.7656,536.2145,578.0663,405.193,491.6296,521.8654,547.6597,426.0335,482.2344,541.8517,567.6461,317.9023,473.864,487.8715,584.5576,860.0956,506.8329,538.9477,574.3082,1910.659,2105.74,2115.989,2118.21,2048.001,2045.097,2115.477,2119.918,2040.827,2096.003,2101.127,2118.893,2062.351,2096.686,2100.615,2119.235,2037.581,2103.348,2115.477,2112.573
"2023-06-05 17:50:00",15,"NAN",12.64,441.2368,517.424,535.8729,577.5538,405.5347,491.8005,520.8405,547.3181,426.3751,482.576,542.1934,567.6461,318.2439,473.864,488.384,584.7284,859.0707,507.5162,538.7769,574.479,1913.222,2107.277,2117.868,2119.747,2049.709,2046.635,2117.014,2121.114,2042.193,2097.54,2102.665,2120.43,2064.059,2098.052,2102.152,2120.26,2038.264,2104.544,2115.989,2113.256
"2023-06-05 17:55:00",16,"NAN",12.64,441.2368,517.2532,535.3604,577.7246,405.193,491.9713,519.4739,546.9764,426.7168,483.0885,542.0225,567.6461,318.7564,474.2057,488.7256,584.8992,855.4834,508.0287,538.6061,574.479,1913.905,2108.814,2119.064,2120.943,2050.735,2048.172,2118.039,2122.48,2043.56,2098.736,2103.861,2121.455,2065.425,2099.761,2103.69,2122.31,2038.948,2107.106,2118.21,2115.306
"2023-06-05 18:00:00",17,"NAN",12.64,442.0909,516.7407,534.848,577.7246,405.5347,491.4588,518.1072,546.6348,427.0584,483.4301,542.0225,567.6461,319.0981,474.5473,489.4089,584.7284,853.946,508.3703,538.2644,574.6498,1915.272,2108.985,2119.235,2121.626,2051.76,2049.026,2118.21,2123.334,2044.414,2099.419,2104.373,2122.48,2066.109,2100.444,2104.715,2122.651,2039.289,2107.448,2118.551,2115.989
"2023-06-05 18:05:00",18,"NAN",12.64,442.4325,516.5699,534.6771,577.7246,405.7055,491.6296,516.7407,546.2932,427.4001,483.601,542.0225,567.8169,319.6105,474.7181,489.9214,584.8992,852.9211,508.8828,538.0936,574.479,1920.396,2114.452,2125.043,2126.751,2057.055,2053.638,2122.822,2127.947,2049.539,2104.373,2109.498,2126.922,2071.917,2105.74,2109.839,2127.434,2042.706,2113.085,2123.676,2120.772
